id;title;date;view_count;rating;content;is_full_content;category
34641416;Yemeksepeti Faturalarında Vergi Numarası Hatası Ve Müşteri Hizmetlerine Ulaşılamıyor;23 Aralık 16:07;123;;Yemeksepeti üzerinden restoran siparişi verdiğimde, fatura üzerinde vergi numarası kısmına kendi vergi numaram olan 6730457*** yerine T. C. Kimlik numaram 11111111111 yazılıyor. Bu nedenle yaptığım harcamaları işletme gideri olarak gösteremiyorum. Canlı desteğe bağlanmayı denedim ancak hiçbir şekilde ulaşılamıyor, müşteri hizmetlerini aradığımda da telefonlara cevap verilmiyor. Bu nedenle sorunu sistem üzerinden kendim de düzeltemiyorum. Ozan Ö****** adına, 6730457*** vergi numaralı mükellefiyetim için, Yemeksepeti hesabımda vergi numaramın doğru şekilde tanımlanmasını ve bundan sonraki tüm restoran siparişlerimin faturalarının bu vergi numarası ile kesilmesini talep ediyorum.;True;fis
34637722;505 TL Nakit Ödedim Ancak Sadece 5 TL Fatura Oluşturuluyor;23 Aralık 11:00;144;;21.12.2025 tarihinde Yemeksepeti üzerinden McDonald's’s’tan toplam 505 TL tutarında sipariş verdim ve ödemeyi kapıda nakit olarak yaptım. Siparişlerim bölümünden ilgili siparişi seçip “fatura oluştur” dediğimde ise sistem sadece 5 TL’lik bir fatura oluşturuyor. Yemeği getiren Yemeksepeti kuryesi, doğru tutarda faturayı alabileceğimi özellikle belirttiği için bu durumu özellikle garipsiyorum. Ancak şu anda sistemde görünen tek fatura 5 TL ve ödediğim 505 TL’lik tutara dair bir belge yok. Bu tutarı şirketim karşılayacak ancak doğru tutarda fatura alamadığım için bu harcamayı beyan edemiyorum ve mağduriyet yaşıyorum. Yemeksepeti müşteri hizmetleri ne de hiçbir şekilde ulaşamıyorum, bu nedenle sorunu iletemiyor ve çözüme ulaşamıyorum. Ödemesini nakit yaptığım 505 TL’lik sipariş için, sistemde görünen hatalı 5 TL’lik belgenin iptal edilip, gerçek tutarı yansıtan yeni ve doğru bir faturanın düzenlenmesini ve tarafıma iletilmesini talep ediyorum.;True;fis
34624636;Yanlış Sipariş Ve Yetersiz Destek: Müşteri Mağduriyeti;22 Aralık 01:43;86;1.0;21 Aralık 2025 saat 14.44’te Yemeksepeti üzerinden verdiğim #sksf-2551-n1i3 numaralı siparişimde, kurye bana kendi siparişimi getirmek yerine aynı restorandan başka birine ait siparişi getirdi. Benim siparişim 590 TL tutarındaydı, bana teslim edilen sipariş ise fişinde de yazdığı üzere 325 TL değerindeydi. Yani hem yanlış sipariş getirildi hem de maddi olarak daha düşük tutarlı bir ürün teslim edildi. Sipariş gelir gelmez uygulama üzerinden hemen destek talebi oluşturdum. Ekranda birkaç dakika içinde bağlanacağım yazdı. Ardından sırasıyla 3 dakika sonra, 2 dakika sonra, 1 dakika sonra ve en son 30 saniye sonra bağlanacağım ibaresi çıktı. 30 saniye yazısını gördükten sonra tam 40 dakika boyunca telefon ekranına bakarak bekledim, ancak hiçbir şekilde canlı desteğe bağlanamadım. Sonrasında 2 saat daha geçti, buna rağmen hâlâ kimseye bağlanamadım ve ben bu süre içinde evden çıkmak zorunda kaldım. Yine de istenirse gösterebilirim diye yanlış gelen siparişin fişini yanıma aldım, zaten yardım talebimde ürünlerin fotoğrafları mevcuttu. İlk destek talebimden tam 8 saat sonra nihayet Emir isimli bir müşteri temsilcisi yazdı. Benden ürünlerin fotoğrafını tekrar istedi. Yanımda sadece fiş olduğu için fişi gönderdim ve ürün fotoğrafını açtığım yardım talebim içinden görebileceğini, 8 saat boyunca döner poşetini yanımda taşımamın mümkün olmadığını belirttim. Buna rağmen ürün fotoğrafı olmadan yardımcı olamayacağını söyledi. Ürünü yemiş olabileceğimi, buna rağmen ortada fiş ve kayıtlar varken en azından aradaki fiyat farkının ödenebileceğini ifade ettim, ancak hiçbir şekilde dikkate alınmadım. Diğer platformlarda benzer durumlar yaşadığımda hiçbir sorun çıkmadan iade yapılmışken, Yemeksepeti tarafında hem yanlış sipariş getirildi hem de bütün süreç boyunca adeta suçlu muamelesi gördüm ve para iadem yapılmadı. İnsanların bu yaşadığım süreci görmesini, özellikle de destek hattına bağlanma konusundaki aksaklıkları ve müşteriyi mağdur eden bu yaklaşımı bilmesini istiyorum. Yemeksepeti benim için artık son tercih bile olmayacak.;True;fis
34575242;Basliksiz Sikayet;16 Aralık 22:01;19;5.0;;False;fis
34574926;Teslim Edilmeyen Ürünler Ve Fiyat Farkları Nedeniyle 985 TL Mağduriyet: Yemeksepeti Ve Mopaş’ta İade Sorunu;16 Aralık 21:30;49;;"İstanbul Kavacık’taki Mopaş market üzerinden Yemeksepeti Market aracılığıyla yaptığım alışverişlerde ciddi bir haksızlıkla karşı karşıyayım. Daha önce nakit ödediğim bazı siparişlerimin ürünleri tarafıma hiç teslim edilmedi, buna rağmen ödediğim paralar hâlâ kartıma iade edilmedi ve toplamda yaklaşık 985 TL’lik bir mağduriyetim oluştu. 15.12.2025 tarihli alışverişimde ise ürünler, herhangi bir fiş gösterilmeden kapıma bırakıldı. Mopaş kasasından çıkan fişte tutar 1.012 TL görünmesine rağmen, Yemeksepeti üzerinden benden çekilen tutar 1.394 TL oldu. Yani market fişi ve Yemeksepeti’nin aldığı ücret birbirini tutmuyor. Daha önceki siparişlerimde de benzer problemler yaşadım; olmayan ürünler sisteme eklenmiş gibi ücret alınıyor, market farklı fiş kesiyor, Yemeksepeti uygulamasında farklı bir ücret yansıtılıyor. Elimde hem Yemeksepeti üzerinden verilen siparişlere ait kayıtlar, hem de banka/kart hareketleri ve market fişleri gibi kanıtlayıcı belgeler bulunuyor. Mopaş bu durumu Yemeksepeti’ne ilettiğini belirtti ancak Yemeksepeti tarafından hiçbir şekilde geri dönüş alamıyorum. Defalarca e-posta göndermeme rağmen ne bir açıklama ne de çözüm sunuldu, iletişim kuramıyorum. Hem teslim edilmeyen ürünlerimin bedelinin eksiksiz şekilde iadesini, hem de fiş ile çekilen tutar arasındaki farkın tarafıma geri ödenmesini talep ediyorum. Ayrıca bu uygulamanın sistematik bir sorun olup olmadığının araştırılmasını ve bir daha aynı durumla karşılaşmamak için gerekli kontrollerin yapılmasını istiyorum.";True;fis
34552844;Sipariş Fişim Hâlâ İletilmedi Mağduriyet Yaşıyorum;14 Aralık 22:06;46;3.0;14.12.2025 tarihinde saat 19:30 civarında Yemeksepeti üzerinden verdiğim siparişe ait fiş tarafıma iletilmedi. Sipariş numaram #masm-k4qp olup, bu siparişe ait resmi fişi talep etmeme rağmen hâlâ alamadım. Konu ile ilgili olarak Yemeksepeti canlı destek ve müşteri hizmetleri ile görüştüm. Firma ile görüştüklerini, ancak fiş gönderimi konusunda uzlaşma sağlanamadığını ilettiler. Buna rağmen, bu siparişe ait fişin tarafıma iletilmesini bekliyorum. İlgili siparişin fişinin en kısa sürede e-posta ya da uygulama üzerinden tarafıma gönderilmesini talep ediyorum.;True;fis
34534457;Siparişe Ait Kasa Fişinin Gönderilmemesi Ve Destek Sorunu;12 Aralık 17:32;158;4.0;"10 Aralık 2026 tarihinde saat 20:13’te Yemeksepeti üzerinden Gina Bowl isimli restorandan 571,58 TL tutarında sipariş verdim ve siparişi teslim aldım. Ancak restoran, bu tutara ait kasa fişini siparişle birlikte göndermedi. Bu fişi şirketimde gider olarak göstermek için talep ettim. Yemeksepeti canlı destek ile görüştüğümde, 'Siparişlerim' bölümünden fatura indirebileceğim söylendi; ancak sistemde sadece 16 TL’lik bir fatura görünüyor. Durumu tekrar iletmeme rağmen yine aynı cevabı verip sadece 16 TL’lik faturamın olduğu belirtildi, restoranla iletişime geçip kasa fişini talep etmediler. Hem Gina Bowl restoranının hem de Yemeksepeti’nin, 571,58 TL’lik siparişime ait kasa fişini temin ederek fiziki olarak kurye ile bana ulaştırmasını talep ediyorum.";True;fis
34504946;Fiş Gönderilmedi, Şikayetim Cevapsız Kaldı!;10 Aralık 01:37;178;;Yemek Sepeti fişsiz ve usulsüz satış yaparak müşteri yi mağdur ediyor. Bir de utanmadan müşteri sohbetini sonlandırıyor herkes duysun istiyorum. Tercih sizin... Maliyeye bildirimi yapıldı. Yemek Sepeti umursamazlığı ekran görüntüsü ektedir. Artık bu uygulamayı kullanmam. Çevremde söylerim... 9 Aralık saat 15:26’da Yemeksepeti üzerinden Pizzabulls restoranından verdiğim e112-2550-zs01 numaralı siparişimde, teslimatla birlikte fiş gönderilmedi. Teslimat anında fiş gelmediğini fark ettim ve hemen Yemeksepeti yardım merkezi üzerinden durumu ilettim. Canlı destek ve yardım merkezi üzerinden defalarca belirtmeme rağmen, sistemde “sorun çözüldü” olarak görülüyor. Ancak bana söylenen tek şey, “firmaya ulaşım sorunu var” şeklinde ve bu gerekçeyle hiçbir somut aksiyon alınmadan talebim kapatılıyor. Yazışmaların ekran görüntüleri de elimde mevcut. Yemeksepeti bu süreçte ne yazık ki müşterisinin arkasında durmuyor, sorun çözülmeden “çözüldü” denilerek konu geçiştiriliyor. Ben siparişime ait yemek fişimin tarafıma ulaştırılmasını ya da fişim temin edilemiyorsa ödediğim ücretin iadesini talep ediyorum. Hem restoran hem de Yemeksepeti tarafının bu konuyu ciddiyetle ele alarak süreci gerçekten çözüme kavuşturmasını istiyorum.;True;fis
34494799;Yemeksepeti Yanlış Fatura Tutarı Nedeniyle Mağduriyet Yaşıyorum;09 Aralık 10:59;108;1.0;03.12.2025 tarihinde Yemeksepeti üzerinden Dürümle restoranından verdiğim siparişe ait faturaya ulaşamıyorum. Uygulama arayüzünden indirebildiğim faturada sadece 5,99 TL tutar görünüyor, ancak gerçek fatura tutarımın 3.825 TL olması gerekiyor. Sipariş numaram #y***49-gxh5 şeklindedir. Faturamın, yani doğru tutarı gösteren faturanın, tarafıma ivedi ve eksiksiz bir şekilde yeniden iletilmesini talep ediyorum.;True;fis
34446510;Yanlış Ürün, Hatalı Fatura Ve İade Sorunu: Müşteri Memnuniyetsizliği;04 Aralık 16:48;37;;Uzun yıllardır aktif olarak kullandığım Yemeksepeti hesabımla Maydonoz Döner’den yaklaşık saat 16.00 civarında verdiğim ve toplam 406,98 TL ödediğim siparişimde büyük bir hayal kırıklığı yaşadım. Öncelikle yemeğim yanlış getirildi, buna rağmen benim seçtiğim ürünün ücreti de tahsil edildi. Üstelik bana başkasının faturası teslim edildi ve hesabımdan 6,98 TL fazla çekim yapıldı. Buradaki sorun benim için para miktarı değil, açıkça kandırılmış hissetmem. Durumu Yemeksepeti desteğe ilettiğimde, yemeği fark etmeden yediğim gerekçesiyle benden fazla alınan 6,98 TL’nin iade edilemeyeceği söylendi. Hem yanlış ürün gönderilmesi hem de başkasının faturasıyla fazla tahsilat yapılmasına rağmen bu küçük tutarın iade edilmemesi, müşteri memnuniyetine hiçbir değer verilmediğini açıkça gösteriyor. Bu yaklaşım nedeniyle yıllardır kullandığım Yemeksepeti hesabımı sildim. Neredeyse platform çıktığından beri düzenli kullanıcıyım ve 7 TL için müşteri kaybetmeyi, en basit mahalle esnafının bile yapmayacağını düşünüyorum. Yanlış ürün, hatalı fatura ve üzerine çözüm odaklı olmayan bu tavır nedeniyle mağduriyetimin giderilmesini ve tarafıma haksız tahsil edilen tutarın iadesini talep ediyorum. İlgili sipariş numaram: #sivn-2549-n1nv.;True;fis
