id;title;date;view_count;rating;content;is_full_content;category
34658111;Yemeksepeti Partner’da İşletme Kaydı Açılmadı, 8 Arama Ve 4 Mail Boşa;25 Aralık 01:54;129;;"Yaklaşık iki ay önce İstanbul Silivri’deki organik çiğ köfte işletmem için Yemeksepeti Partner üzerinden işletme kaydı oluşturdum. Tüm gerekli evrakları eksiksiz şekilde yükleyip tüm işlemleri tamamlamama rağmen işletme açılışım bir türlü gerçekleşmedi. Bu süreçte müşteri hizmetleri ni defalarca aradım ve her seferinde kaydımın alındığı, işlemlerin tamamlanıp iki gün içinde dönüş yapılacağı söylendi; ancak ne arayan oldu ne de net bir bilgilendirme yapıldı. Toplamda 8 kez telefonla arama yaptım, 4 kez de e‑posta gönderdim fakat geri dönüş alamadım, muhatap bulamıyorum. Kayıt oluşturuluyor ama sorun çözülmüyor, ayrıca sistem üzerinden kaydımı kendim de silemiyorum. İşletme kaydımın acilen tamamlanarak işletmemin yayına alınmasını, eğer herhangi bir eksik ya da engel varsa bunun açıkça tarafıma gerekçesiyle bildirilmesini, yine de açılamıyorsa işletme kaydımın iptal edilerek bu konuda net bir bilgilendirme yapılmasını talep ediyorum.";True;hesap
34662991;Yemeksepeti İş Yeri Başvurumda İki Aylık Geri Dönüşsüz Bekleyiş;25 Aralık 16:25;8;;Kocaeli Derince’deki Şelale Restaurant işletmem için 13.11.2025 tarihinde Yemeksepeti’nin internet sitesi üzerinden üye iş yeri başvurusunda bulundum. Başvuru sırasında en geç 1-2 gün içerisinde geri dönüş yapılacağı bilgisi verilmesine rağmen yaklaşık iki aydır tarafıma hiçbir şekilde dönüş yapılmadı. Bu süreçte Yemeksepeti ile defalarca mail yoluyla iletişim e geçtim ancak her seferinde kopyala-yapıştır şeklinde, standart ve sorunu çözmeyen cevaplar gönderdiler. Başvurumun hangi aşamada olduğu, neden sonuçlandırılmadığı konusunda net ve açıklayıcı hiçbir bilgi alamadım. İşletme olarak hem zaman kaybı yaşıyoruz hem de bu belirsizlik nedeniyle planlama yapamıyoruz. 0533*******41 numaralı telefondan da bana ulaşılabilir. Başvurumun acilen incelenip sonuçlandırılmasını ve tarafıma net bir geri dönüş yapılmasını talep ediyorum.;True;hesap
34660832;Yeni Hesapta İlk Kuponu Haksız Şekilde Reddedildi Ve Müşteri Hizmetine Ulaşılamıyor;25 Aralık 13:33;-;;Yemeksepeti’ne yeni aldığım telefon numarasıyla yeni bir hesap açtım ve 24 Aralık 2025 tarihinde saat 20.00 civarında ilk sipariş kuponunu kullanmak istedim. Kuponu kullanmaya çalıştığımda, bu hesapta daha önce kullanılmış şeklinde bir hata aldım. Oysa bu numarayı yeni aldım ve bu hesap da yeni açıldı, bu nedenle böyle bir uyarı almanın mantıklı bir açıklamasını göremiyorum. Konu hakkında uygulama üzerinden müşteri hizmetlerine ulaşmayı denedim ancak sistem beni müşteri temsilcisine bağlamıyor, bu yüzden kimseyle görüşüp detaylı bilgi de alamadım. Yeni numaramla açtığım hesapta ilk sipariş kuponumun haksız yere reddedilmesi nedeniyle, ilgili kuponun yeniden ve sorunsuz kullanabileceğim şekilde hesabıma tanımlanmasını talep ediyorum.;True;hesap
34657883;Yemeksepeti’den Sözleşme Talebine Yanıt Gelmiyor;25 Aralık 01:07;115;;"Yemeksepeti ile restoran iş ortaklığı kapsamında çalışıyorum ve yaklaşık 1 aydır imzaladığım sözleşmenin bir örneğini talep etmeme rağmen tarafıma iletilmiyor. Bu süre içinde hem e-posta, hem telefon, hem de canlı destek üzerinden defalarca kez sözleşme talebinde bulundum. Canlı destek ve diğer kanallarda çoğunlukla bot yanıtlarıyla karşılaşıyorum, herhangi bir yetkiliye aktarılamıyor ve talebime dair somut bir geri dönüş alamıyorum. Ne yazılı ne de sözlü olarak bu konuda muhatap bulamıyorum; sözleşme içeriğime erişememek de beni ciddi anlamda tedirgin ediyor. Yemeksepeti’nin, imzaladığım restoran iş ortaklığı sözleşmesini tarafıma e-posta yoluyla iletmesini ve bu süreçle ilgili doğrudan iletişim kurabileceğim bir yetkili belirleyerek benimle irtibata geçmesini talep ediyorum.";True;hesap
34654842;Telefon Numaram Başka Hesapta Kullanılıyor Ve Doğrulama Yapılamıyor;24 Aralık 21:00;37;;Yemeksepeti’nde kendi adıma hesap açmak isterken telefon numaramı doğrulama aşamasında sorun yaşadım. Numaramı girdiğimde sistem numaramı kabul etmiyor ve doğrulama yapılamıyor. Bugün anladım ki telefon numaram şu anda benim dışımda, başka bir hesapta kullanılıyor görünüyor. Kişisel verim olan telefon numaramın, benim onayım ve bilgim olmadan başka bir hesapla ilişkilendirilmiş olmasından son derece rahatsızım. Güvenliğim ve kişisel verilerimin korunması açısından, telefon numaramın sisteme kayıtlı olduğu tüm hesaplardan tamamen silinmesini ve bu numara üzerindeki tüm eşleştirmelerin kaldırılmasını talep ediyorum. Gerekirse kimlik ve hat sahibi olduğuma dair doğrulamayı sağlamaya hazırım. Numaramın kısa süre içerisinde tüm hesaplardan kaldırılarak bu durumun yazılı olarak tarafıma bildirilmesini istiyorum.;True;hesap
34650687;Telefon Numarasının Eski Hesaptan Silinip Yeni Mail Adresine Taşınamaması Ve Yardım Alınamaması;24 Aralık 15:18;36;;"Yemeksepeti’nde kullandığım telefon numaram, yıllar önce başkasına ait farklı bir e‑posta adresine tanımlandığı için kendi e‑posta adresimde bu numarayı kullanamıyorum. Eski e‑posta adresi bana ait değil ve erişimim de yok. Kendi e‑postama da arkadaşımınkini eklemek zorunda kalmıştım ve bir yıldır bu şekilde idare etmeye çalışıyorum. Bu sebeple yardım merkezi ne baktım ancak oradan da bir çözüm alamadım. Konuyla ilgili müşteri hizmetlerine ulaşmak istedim fakat kullanıcı için hizmet alabileceğim bir çağrı merkezi hattı bulamadım. Kullanıcı ve işletme harici hizmet verilen hattı tuşlayarak bağlandım. Telefona çıkan görevliye durumumu anlattım, kendilerinin de başlangıçta söylediği gibi bu hattan kullanıcıya hizmet veremediklerini belirtti. Ben konuşmama devam ederken ve tam derdimi anlatmaya çalışıyorken, görevli lafımı bitirmeme bile izin vermeden, saygısızca yüzüme telefonu kapattı. Böyle büyük bir firmanın hem kullanıcılar için ulaşılabilir bir müşteri hizmetleri hattı olmaması hem de mevcut hatta çıkan çalışanların müşteriye yol göstermemesi, nezaket ve müşteri memnuniyeti kavramlarından bu kadar uzak olması beni ciddi şekilde hayal kırıklığına uğrattı. Bu yaşananlardan sonra Yemeksepeti devri benim için açıkçası sona ermiştir. Yemeksepeti’nden talebim, telefon numaramın bağlı olduğu eski hesaptan silinmesi ve yeni e‑posta adresime tanımlanması; bu süreçte yaşadığım iletişim sorunu hakkında gerekli incelemenin yapılması ve benzer durumlarda müşteriye daha saygılı ve çözüm odaklı bir şekilde ilgi gösterilmesidir. Uygulamayı artık aktif olarak kullanmayı düşünmüyorum; ancak farklı firmalarla ilgili bir sorun çıkması durumunda, ihtiyaç halinde nadiren kullanmak zorunda kalma ihtimalime karşı bu taleplerde bulunduğumu da özellikle belirtmek istiyorum.";True;hesap
34633651;Silinen E-posta Nedeniyle Hesabıma Erişemiyorum;22 Aralık 21:12;62;;Yemeksepeti hesabıma bağlı olan e-posta adresim yıllar önce tamamen silinmişti. Şu anda Android uygulaması üzerinden giriş yapmaya çalıştığımda, giriş için şifre silinmiş olan bu e-posta adresine gönderiliyor ve bu yüzden hesabıma erişim sağlayamıyorum. Yaklaşık 3 yıldır hesabıma giremiyorum ve telefon numaram kayıtlı olmasına rağmen, erişim sadece eski ve artık var olmayan e-posta adresi üzerinden sağlanabildiği için hesabımı kullanamıyorum. Yemeksepeti’nden, telefon numaramın kayıtlı olduğu hesabımdaki e-posta adresinin güncel ve aktif olarak kullandığım bir e-posta adresiyle değiştirilmesini, böylece hesabıma tekrar erişim sağlayabilmem için gerekli işlemlerin yapılmasını talep ediyorum.;True;hesap
34641505;Yemeksepeti İzinsiz Kullanılan Telefon Numaram Nedeniyle Yaşadığım Sürekli Rahatsızlık;24 Aralık 11:17;94;;Yemeksepeti sisteminde kayıtlı olan telefon numaram uzun süredir başka bir kişi tarafından izinsiz şekilde kullanılmakta. Bu kişi benim numaramı kullanarak sürekli kapıda ödemeli sipariş veriyor, tüm aramalar ve SMS’ler bana geliyor, restoranlar ve kuryeler beni arıyor ve bu durumdan hiçbir şekilde sorumlu olmadığım halde rahatsız ediliyorum. Bu sorun bir seneden fazladır devam ediyor ve artık hayatımı ciddi anlamda olumsuz etkiliyor. Defalarca kez arayıp durumu Yemeksepeti müşteri hizmetleri ne bildirdim, telefonda “tamam, ilgileneceğiz” denmesine rağmen somut hiçbir işlem yapılmadı ve sorun aynen devam ediyor. Açıkçası bu durumdan bıktım, gına geldi. Numaramın benim iznim olmadan hiçbir şekilde başkası tarafından kullanılamayacağı çok açık. Yemeksepeti’nden, telefon numaramın başka bir hesapta kullanılmasının acilen engellenmesini, gerekli güvenlik incelemesinin yapılmasını ve numaramın sadece bana ait olacak şekilde sistemde düzeltilmesini talep ediyorum. Bu konunun artık kalıcı olarak çözülmesini istiyorum, aksi halde konuyu CİMER ve ilgili resmi kurumlara da taşıyacağımı belirtmek istiyorum.;True;hesap
34631345;Başkasının Hesabında Kullanılan Numaram Yüzünden Sürekli Aranıyorum;22 Aralık 17:55;82;;Yemeksepeti’ne kayıtlı telefon numaram, benim adıma olmadan Kuşadası’nda görünen “U*** D****” isimli bir kişinin hesabında kullanılıyor. Ben İstanbul’da ikamet etmeme rağmen, bu kişinin verdiği siparişler için yıllardır Yemeksepeti kuryeleri tarafından sürekli aranıyorum. Özellikle gecenin 2’sinde bile telefonum çalıyor ve bu durum artık hem rahatsız edici hem de hayat düzenimi bozan bir hale geldi. Yaklaşık 2-3 yıldır devam eden bu sorunla ilgili defalarca uygulama üzerinden Yemeksepeti’ne yazmama rağmen hiçbir sonuç alamadım, tarafıma çözüm üretilmedi ve numaram sistemden kaldırılmadı. Yemeksepeti’nden talebim, Kuşadası’nda “U*** D****” adına kayıtlı olan hesaptaki telefon numarasının derhal geçersiz hale getirilmesi ve numaramın bu hesaptan tamamen silinmesi, böylece artık kuryeler tarafından aranarak rahatsız edilmememin sağlanmasıdır.;True;hesap
34631322;Hotmail Adresim Kapandı Yemeksepeti Hesabıma Erişemiyorum Çözüm Bulamıyorum;22 Aralık 17:54;96;;Yemeksepeti hesabıma bağlı olan Hotmail adresim kullanıma kapandığı için yaklaşık 2–3 haftadır uygulamaya giriş yapamıyorum. Hesabımla ilişkili telefon numaramın son 4 hanesi 7175’tir ve hesabıma erişemediğim için ne geçmiş siparişlerime ne de kayıtlı bilgilerime ulaşabiliyorum. Bu sorunla ilgili olarak Yemeksepeti çağrı merkezi ni iki kez aradım ancak görüşmelerimde müşterilerle bu konuda konuşulmadığı ve çözüm önerisi sunamayacakları söylendi. Herhangi bir yönlendirme veya çözüm adımı paylaşılmadı. Yemeksepeti hesabımın yeni e-posta adresim ile eşleştirilmesini ve hesabıma tekrar erişimimin sağlanmasını talep ediyorum. Gerekli doğrulamalar yapılarak mağduriyetimin giderilmesini rica ederim.;True;hesap
