id;title;date;view_count;rating;content;is_full_content;category
34647051;Yemeksepeti Kupon Kullanımında 'İnternet Kesik' Hatası Nedeniyle Mağduriyet Yaşadım!;24 Aralık 01:01;9;;Daha Daha uygulamasından puan biriktirerek Yemeksepeti için 350 TL ve üzeri siparişlerde 250 TL indirim sağlayan bir kupon kodu satın aldım. Kod olarak uygulamada g******** şeklinde görünen bu kuponu 24 Aralık 2025 tarihinde ilk kez kullanmak istedim. Kuponu Yemeksepeti’ne girdiğimde hem 350 TL üzeri sipariş şartı hem de sadece belirli işletmelerde geçerli olduğu bilgisi açıkça yazıyordu. Ancak kuponun geçerli olduğu işletmeleri görmek istediğimde uygulamada sürekli “internet kesik” benzeri bir uyarı alıyorum. İnternet bağlantımda hiçbir sorun olmadığı halde bu hata nedeniyle kuponun geçerli olduğu restoranları görüntüleyemiyorum ve kuponu fiilen kullanamıyorum. Daha Daha ve Yemeksepeti tarafının bu teknik sorunu birlikte inceleyerek, kuponumu sorunsuz şekilde kullanabileceğim biçimde gerekli düzeltmeyi yapmasını ve bu süreçte yaşadığım mağduriyetin giderilmesini talep ediyorum.;True;indirim
34650321;Yemeksepeti Flash İndirim Sayfası Boş, Restoran Seçilemiyor;24 Aralık 13:58;458;;Yaklaşık bir haftadır Yemeksepeti uygulamasında yaşadığım bir teknik sorunu belirtmek istiyorum. Flaş indirimler kısmına girip bir restoranı seçtiğimde, restoranın üzerine tıklamama rağmen hiçbir şekilde yemekler ve ürünler yüklenmiyor, sayfa tamamen boş kalıyor. Uygulamaya iPad üzerinden giriyorum, bilgisayardan deneme yapmadım. Her seferinde aynı sorunla karşılaşıyorum ve bu nedenle flaş indirimlerden faydalanamıyorum. Konuyla ilgili henüz müşteri hizmetleriyle iletişime geçmedim. Bu teknik hatanın en kısa sürede tespit edilip düzeltilmesini ve gerektiğinde tarafıma bilgilendirme yapılmasını rica ediyorum.;True;indirim
34645607;Satın Aldığım Yemeksepeti İndirim Kodu Çalışmıyor;23 Aralık 22:02;104;5.0;Daha Daha uygulamasını kullanarak Coca-Cola kampanyasından puan biriktirdim. Her 1 litre Coca-Cola kapağının altından çıkan 150 puanlık kodlarla, farklı günlerde toplamda 10 adet ürün aldım ve 1050 puan topladım. Bu puanlarla Daha Daha uygulaması üzerinden Yemeksepeti’nde geçerli 250 TL’lik indirim kodu satın aldım. Ancak Yemeksepeti üzerinde bu kodu hiçbir şekilde kullanamıyorum. Kodun geçerli olduğu restoranları görmek istediğimde önce “Kod bu restoranda geçerli değil” uyarısı alıyorum, kodun nerede geçerli olduğuna bakmak istediğimde ise “Üzgünüz, sorun bir bağlantı hatasından veya internet arızasından kaynaklanıyor olabilir” şeklinde bir hata veriyor. İnternet bağlantımda herhangi bir sorun olmadığı halde sistem kodu kullandırmıyor. Kodun son kullanma tarihi uygulamada 31.12.2025 olarak görünüyor, yani süresi de henüz dolmamış durumda. Yaklaşık 3 gündür defalarca denememe rağmen aldığım indirim kodunu kullanamıyorum. Farklı günlerde ürün alarak emek verip puan biriktirdim, ancak karşılığında satın aldığım indirim hakkını kullanamamak mağduriyet oluşturuyor. Bu nedenle Daha Daha hesabımdan harcanan 1050 puanın iadesini talep ediyorum.;True;indirim
34636907;Yemeksepeti'nde İndirim Kuponlarının Kullanılamaması Ve Yetersiz Müşteri Hizmetleri;23 Aralık 08:38;238;1.0;Yemeksepeti uygulamasını indirip üye oldum ve ilk siparişimde 200 TL indirim kuponu verileceği belirtiliyordu. Ayrıca, Turkcell abonesi olduğum için 230 TL indirim kuponum da vardı. 21 Aralık 2025 saat 20:20 civarında uygulama üzerinden yaklaşık 690 TL tutarında bir sipariş vermek istedim ve ödemeyi banka kartı ile peşin olarak yaptım. Ancak hem ilk siparişe özel 200 TL kuponunu hem de Turkcell 230 TL kuponunu denediğimde, sistem bu kuponların geçersiz olduğunu söyledi ve hiçbirini kullanamadım. Bu durumla ilgili destek almak için müşteri hizmetlerine ulaştığımda ise son derece ilgisiz bir tutumla karşılaştım. Sorunum çözülmedi ve kuponlarımı neden kullanamadığım konusunda net bir açıklama yapılmadı. Üstelik, vermiş olduğum sipariş de çok geç teslim edildi ve geldiğinde yemekler soğuktu. Hem vaat edilen indirimlerin uygulanmaması hem de ilgisiz müşteri hizmetleri ve yaşadığım geç-soğuk sipariş problemi nedeniyle mağdur oldum. Kullanamadığım indirim kuponlarım koşullara uygunsa siparişime ya da hesabıma tanımlanmasını ve yaşadığım bu olumsuz deneyimle ilgili gerekli incelemenin yapılarak tarafıma bilgilendirme yapılmasını talep ediyorum.;True;indirim
34624275;Yemeksepeti İndirimli Ödeme Sorunu Nedeniyle Mağduriyet Ve Maddi Kayıp;22 Aralık 17:41;88;;21 Aralık 2025 tarihinde, saat yaklaşık 14.00–15.30 arasında Yemeksepeti üzerinden verdiğim bir siparişte indirimli fiyatla ödeme yapmak istedim ancak sistem ödemeyi defalarca denememe rağmen kabul etmedi. Farklı kartlarla birçok kez denememe rağmen işlem onaylanmadı. Banka sisteminde ödemenin alındığı görünmesine rağmen Yemeksepeti uygulaması ödemeyi kabul etmedi ve sipariş tamamlanmadı. Verilen kampanya/indirim süresi geçtikten sonra ise aynı siparişi daha yüksek bir ücretle, yaklaşık 200 TL civarında, ödemek zorunda kaldım. Bu durum bende bilerek yapılmış bir yanıltmaca ve yanıltıcı bir uygulama izlenimi oluşturdu. Yaşadığım sorunla ilgili olarak Yemeksepeti canlı destek/müşteri hizmetlerine yazmama rağmen herhangi bir geri dönüş alamadım. Sonuçta aynı ürünü indirimli fiyattan alamadım ve daha yüksek bir tutara satın almak zorunda bırakıldım. Ödeme denemelerim sırasında bankadan “ödeme alındı” şeklinde bilgi gelirken uygulamanın kabul etmemesi ve indirim süresi bittikten sonra ödemeyi sorunsuz kabul etmesi nedeniyle, uğradığım maddi kaybın ve mağduriyetimin giderilmesini talep ediyorum.;True;indirim
34630549;Yemeksepeti'nde Turkcell İlk Sipariş İndirim Kuponu Aktif Edilemiyor;22 Aralık 17:04;132;;Yemeksepeti uygulamasını indirdim ve Turkcell’in bana verdiği ilk sipariş indirim kuponunu kullanmak istediğimde kuponu aktif edemiyorum. Kuponu seçip sipariş vermek istediğimde “işletme bulunamadı” hatası alıyorum ve bu nedenle ilk sipariş indiriminden yararlanamıyorum. Sorunla ilgili henüz müşteri hizmetleri veya canlı destek le de görüşemedim. Turkcell tarafından verilen ilk sipariş indirim kuponumun herhangi bir kısıtlama olmadan aktif edilmesini ve kullanabilmem için gerekli düzenlemenin yapılmasını talep ediyorum.;True;indirim
34624533;Yemeksepeti Kuponum Uygulanmadı, Fazla Ödeme Mağduriyeti Yaşadım;22 Aralık 01:20;63;;21.12.2025 tarihinde Yemeksepeti üzerinden Domino’s’tan verdiğim pizza siparişimde 120 TL’lik indirim kuponu kullandım. Sistem üzerinde 378 TL ödemem gerekirken, kupon karşı tarafta görünmediği için kredi kartımdan 498 TL çekildi ve aradaki 120 TL’lik fark benden tahsil edilmiş oldu. Domino’s ile görüştüğümde, siparişin faturasının kendilerine otomatik olarak düştüğünü ve bu tutarı değiştirme imkanlarının olmadığını ilettiler. Yemeksepeti tarafına ulaştığımda ise firmayı aramam gerektiği söyleniyor, somut bir çözüm sunulmuyor ve doğrudan muhatap bulamıyorum. Bu süreçte her iki taraf arasında yönlendirilip mağdur edildim. Sipariş numaram opl0-2551-whi5’tir. Yemeksepeti üzerinden kullanmış olduğum 120 TL’lik indirim kuponunun uygulanmaması sonucu kredi kartımdan tahsil edilen fazla tutarın iadesini, ayrıca bu sistem hatasının detaylı olarak incelenip benzer mağduriyetlerin yaşanmaması için gerekli önlemlerin alınmasını talep ediyorum.;True;indirim
34609832;Yemeksepeti Telefon Numarası Erişim Sorunu Nedeniyle Hesaba Giremiyor;20 Aralık 11:21;210;;Yaklaşık iki aydır Yemeksepeti hesabıma giriş yapmaya çalışırken telefon numaramı (54… ile başlayan numaram) onaylamak istediğimde “Check the number you entered or TRY another login method” uyarısıyla karşılaşıyorum. Numaramın başka bir hesapta kullanıldığı hatası alıyorum ve bu nedenle hesabıma erişemiyor, sipariş oluşturamıyorum. Hesabımda kayıtlı önemli bir bilgi veya ödeme yöntemi bulunmamakla birlikte, bu durum nedeniyle indirim kuponlarımı da kullanamıyorum. Özellikle ilk siparişe tanımlı 250 TL indirim hakkımdan yararlanamıyorum. Konu ile ilgili olarak Yemeksepeti müşteri hizmetleriyle iletişime geçtim ancak maalesef bir çözüm sunulmadı. Telefon numaramın yeni bir hesapla sorunsuz şekilde eşleştirilmesini, giriş sorunumun giderilmesini ve indirim kuponlarımı kullanabilecek duruma getirilmesini talep ediyorum.;True;indirim
34595198;İlk Siparişte Kullanılan Kuponun İndirimi Yansıtılmadı, İade Talebim Var;18 Aralık 19:14;100;4.0;18.12.2025 tarihinde saat 18.20 civarında Yemeksepeti üzerinden Panino’dan, ilk alışverişe özel “merhaba” kuponunu kullanarak sipariş verdim. Ancak kuponu seçmiş olmama rağmen indirim siparişime yansımamış ve ücret kartımdan tam olarak çekilmiştir. Sipariş sonrasında bunu fark ettiğim için müşteri hizmetleri yle ayrıca iletişim e geçmedim. İlk alışveriş kampanyasından faydalanmam gerekirken indirim uygulanmadığı için mağdur olduğumu düşünüyorum. “merhaba” kuponu kapsamında almam gereken indirim tutarının tarafıma iade edilmesini talep ediyorum.;True;indirim
34558243;Yemeksepeti'nde Joker İndirimi Uygulanmadı, İletişim Sorunu Yaşadım;15 Aralık 14:34;103;1.0;"15.12.2025 tarihinde Yemeksepeti üzerinden Dürüm House restoranından Joker indirimi ile bir sipariş oluşturdum. Siparişim yaklaşık 550 TL tutarındaydı ve Joker indirimiyle birlikte ödemem gereken tutar 350 TL civarına düşüyordu. Ancak tam onaylama adımında sürenin dolduğu uyarısı çıktı ve buna rağmen indirim uygulanmadan, 350 TL yerine 550 TL olarak kredi kartımdan çekim yapıldı. Sipariş numaram #***-58fg olup, hem uygulama üzerinden hem de diğer iletişim kanallarından Yemeksepeti müşteri hizmetlerine ulaşmayı denedim; ancak hiçbir şekilde ulaşamıyorum, aranmadım ve uygulama içi yazışma kanalı da işlevsel değil. Bu nedenle sipariş tutarı düzeltilmiyor, iptal de edilmiyor ve mağduriyetim devam ediyor. Joker indirimli olarak onaylamak üzere olduğum siparişimin, indirimli tutar olan yaklaşık 350 TL üzerinden yeniden değerlendirilmesini, aradaki haksız 200 TL’lik farkın tarafıma iade edilmesini ve bu iletişim sorununun da incelenmesini talep ediyorum.";True;indirim
