id;title;date;view_count;rating;content;is_full_content;category
34664239;Teslim Edildiği Görünen Siparişim Gelmedi Ve İade Talebim;25 Aralık 18:02;2;;Bugün saat 16.34’te Yemeksepeti üzerinden tavuk döner siparişi verdim. Uygulamada siparişim #jw7y-2552-rwdi numarasıyla “teslim edildi” olarak görünmesine rağmen tarafıma herhangi bir ürün teslim edilmedi. Restoran ya da kuryeyle iletişime geçme imkanım olmadı, arayamıyorum ve uygulama üzerinden iptal etmek istediğimde de iptal işlemi gerçekleşmiyor. Hem siparişim ortada yok hem de sistemde teslim edilmiş gibi görünüyor. Bu nedenle, online kart ile ödediğim bu siparişe ait tutarın tarafıma iade edilmesini talep ediyorum.;True;iptal
34659353;Yemeksepeti'nde Geç Kalan Sipariş Ve Gece Yarısı Teslimatı İçin Açıklama Talebi;25 Aralık 10:43;-;;"Yemeksepeti uygulaması üzerinden dün öğle saatlerinde Babadan Yadigar Çorba adlı restorandan sipariş verdim. Siparişim bir buçuk saati geçtiği halde ne sipariş gelmedi ne de bir bilgilendirme yapıldı. Bunun üzerine uygulama üzerinden iptal etmek istedim ancak sistem izin vermedi, destek kısmından da kimseye ulaşamadım. Müşteri hizmetlerini aradım, yine kimseye bağlanamayınca bu kez restoranı arayıp siparişimi iptal etmek istediğimi söyledim. Restoran ise iptali benim Yemeksepeti’nden yapmam gerektiğini söyleyip yardımcı olmadı. Ben de Yemeksepeti’ne ulaşamadığımı, kurye gelirse yemeği teslim almamaları gerektiğini özellikle belirttim. Tüm bunlara rağmen Yemeksepeti siparişi sistemde iptal etmedi. Uygulama üzerinden kuryeye ayrıca not yazdım; saat 12’yi geçtiğini, uzun süredir beklediğimi, ertesi gün işim olduğunu ve artık yemeği getirmemelerini açıkça ifade ettim. Buna rağmen gece saat 03:30’da kapım çalındı ve kurye siparişi getirmişti. Gecenin üç buçuğunda kapımda ısrarla bekleyen biri yüzünden uykumdan korkuyla uyandım. Siparişim üzerinden saatler geçmişken, böyle bir saatte teslimat yapılması ve müşterinin bu kadar rahatsız edilmesi bana göre kesinlikle normal ve kabul edilebilir bir durum değil. Burada derdim para ya da bir indirim değil, tamamen güvenlik ve saygı konusu. Saatlerce teslim edilmeyen bir siparişi sistemsel olarak belli bir süreden sonra otomatik iptal etmeniz, müşterinin defalarca iptal için uğraşmak zorunda kalmaması ve böyle gecenin bir vakti kapıda kurye ile karşı karşıya bırakılmaması gerekiyor. Ayrıca yaşadığım bu süreçte ne müşteri hizmetlerine ulaşabildim ne de destek kısmından bir muhatap bulabildim. Bu kadar temel bir konuda ulaşılabilir olmamanız ve iptal sürecinin bu kadar zor olması ciddi bir problem. Bu olayla ilgili olarak öncelikle yaşanan süreçle ilgili açıklama yapılmasını, gecenin üç buçuğunda teslimat gibi güvenlik ve konforu etkileyen konularda politika ve sistemlerinizin gözden geçirilmesini, belli bir süreyi aşan siparişlerin otomatik iptal edilmesini ve müşteri hizmetleri/destek hatlarınızın gerçekten ulaşılabilir hale getirilmesini talep ediyorum. Benzer bir durumun bir daha ne benim ne de başka bir kullanıcının başına gelmemesi için gerekli adımların atılmasını istiyorum.";True;iptal
34661198;Yemeksepeti Siparişindeki Bilinmeyen Sarı Sos Ve Destek Personelinin İlgisiz Yaklaşımı;25 Aralık 14:06;-;;"25.12.2025 tarihinde, saat yaklaşık 12:30‑13:00 arasında Yemeksepeti üzerinden verdiğim ekmek arası siparişimle ilgili yaşadığım bir sorun nedeniyle Yemeksepeti yardım merkezi nden canlı desteğe bağlandım. Sipariş verirken not kısmına, varsa acı sos eklenmesini rica etmiştim. Siparişim geldiğinde ekmeği açtığımda, arasında hardala benzeyen sarı renkte bir sos olduğunu gördüm. Önce Yemeksepeti üzerinden restoranla iletişime geçtim. Restoran çalışanı bunun acı sos olduğunu söyledi; ancak sosun içeriğini sorduğumda net bir açıklama yapamadı, yalnızca “acı sos” diyerek geçiştirdi. İlk defa sarı renkte bir acı sos gördüğümü, bu yüzden içeriğini merak ettiğimi ve hardal sevmediğim için bunu bilmek zorunda olduğumu belirttim. Buna rağmen restoran tarafı bana tatmin edici hiçbir bilgi veremedi. Restoranla konuşarak çözüme ulaşamayacağımı anlayınca Yemeksepeti canlı desteğe bağlandım ve ekmek arasının fotoğrafını da paylaştım. Canlı destek hattında K**** K* isimli çalışan ile görüştüm. Kendisine sorunumun restorandan net bir şekilde açıklanmadığını, sosun içeriğini bilmek istediğimi, eğer bu bilgi verilemiyorsa siparişimin iptal edilerek ücretimin iade edilmesini talep ettiğimi anlattım. Buna rağmen K**** K* isimli çalışan, sorunum tam olarak dinlenmeden “size yardımcı olamayacağım” diyerek görüşmeyi aniden sonlandırdı. Görüşme boyunca hiçbir şekilde sert ya da kaba bir üslup kullanmadım; gayet sakin ve normal bir dille derdimi anlatmaya çalıştım. Ancak hem restoranın sosla ilgili net bir açıklama yapmaması, hem de Yemeksepeti’nin aracı kurum olarak bu bilgiyi restorandan öğrenip bana iletmemesi ve üstüne canlı destek görüşmesinin yüzüme kapatılması beni son derece hayal kırıklığına uğrattı. Yemeksepeti’nden, öncelikle bu yaşanan süreç ve özellikle K**** K* isimli çalışan ile yapılan görüşme hakkında inceleme yapılmasını, müşteriyi dinlemeden görüşme sonlandırılması konusunda gerekli uyarıların ve işlemlerin uygulanmasını talep ediyorum. Ayrıca, restoranın eklediği bu sarı renkli sosun tam olarak ne olduğunu tarafıma yazılı şekilde açıklamanızı ve restorandan bu bilginin net bir şekilde alınmasını, bunun mümkün olmaması halinde ise söz konusu siparişimin ücretinin tarafıma iade edilmesini istiyorum.";True;iptal
34650287;Yemeksepeti'de Lezzet 150 Promosyonu İptali İçin 15 Gün Süren Yanıtsızlık;25 Aralık 09:40;4;;Restoran ıd :q** Restoran sahibiyim. Bundan 15 gün önce lezzet 150 isimli promosyonun iptali için talepte bulundum. Bunu hem panelden destek yoluyla, hem telefon üzerinden hem de mail yoluyla defalarca yaptım 15 gün içerisinde. Beni her seferinde talebinizi ilettik diyerek oyalıyorlar. Panelimde katıldığım bu promosyon görünmediği için, ben kendim girip de promosyonu iptal edemediğimi belirttiğim halde bana hala panelden girip iptal edebileceğimi söylüyorlar. Ve bu promosyonun panelimde görünmediğini bilerek beni oyalamak için yapıyorlar. Bir süre daha oyaladıktan sonra ekran görüntüsü istediler. 5 gün oldu panelimde iptal edebileceğim şekilde promosyonun görünmediğinin ekran görüntüsünü yolladım fakat hala işlem yapmadılar. Ekran görüntüsü attıktan sonra 3 defa daha mail attım geri dönüş bile yapmıyorlar. Bu resmen hiç etik ve yasal değil. Çocuğumun rızkından kasıtlı olarak alanlar umarım bunun bedelini öderler. Çok acil bir şekilde lezzet 150 promosyonundan çıkarılmak istiyorum. Girerken panelden tek tuşla giriliyor. Ama çıkarken süründürüyorsunuz. Daha bitmedi. 1 aylık reklam satın aldım 19 Kasım'da 30 Kasım'da bütçeyi bitirdiler. Yeni bütçe açtılar. Bununla ilgili mail attım ama hiçbir açıklama yapmadılar. Jokere katıldım ve indirimin sadece müşteriye yansıttığım tutar kadar olacağını sanıyordum. Fakat müşteriye yansıttığım indirim dışında Yemeksepeti ekstra yüksek kesintiler yaptı. Müşteri temsilcisine bunun hiçbir yerde yazmadığını söylediğimde haklısınız dedi ve jokerden çıkmam da haftalar sürdü aynı şekilde. Rakip firmada promosyon, flash, reklam bütün bunlara istediğim an girip çıkabiliyorum. Bu kadar köklü bir firmaya, sırtından para kazandığı restoranlara bu şekilde muamele yapması çok büyük hata. Kimse saf değil. Her yerden günlerdir yazıyorum buraya da yazıyorum: beni lezzet 150 Promosyonundan çıkartın;True;iptal
34655685;Yanlış Adrese Verilen Siparişte Değişiklik Ve İptal Seçeneği Yok;24 Aralık 21:48;-;;24.12.2025 tarihinde saat 19.45 civarında Yemeksepeti üzerinden Green Salads adlı restorandan yaklaşık 300 TL tutarında sipariş verdim. Siparişi yanlış adrese verdiğimi hemen fark ettim ve 30 saniye gibi çok kısa bir süre içinde adresi değiştirmek istedim ancak sistem buna izin vermedi. Ardından siparişi iptal etmeye çalıştığımda da iptal seçeneği sunulmadı. Durumu anlatmak için müşteri hizmetleri ni aradığımda mesai saatleri dışında olduğu için hiçbir şekilde bir muhatap bulamadım. Bu kadar kısa sürede fark ettiğim ve düzeltmek istediğim bir hata için ne adres değişikliğine izin verilmemesi ne de iptal hakkı tanınmaması, üstüne de kimseye ulaşamıyor olmam, hizmetten ciddi anlamda soğumama neden oldu. Yemeksepeti hesabıma kayıtlı telefon numaram 0543*****64’tür. Yanlış adrese giden bu sipariş için ödediğim ücretin iadesini talep ediyorum.;True;iptal
34653559;Sipariş İptal Seçeneğinin Pasif Olması Ve İletişim Sorunu Nedeniyle Aşırı Ücretlendirme;24 Aralık 19:53;-;;"24.12.2025 tarihinde saat 16:15 civarında Yemeksepeti uygulaması üzerinden Arby's isimli restorandan sipariş vermek istedim. Uygulamada bir indirim vardı; bu indirimden faydalanarak sipariş vermeye çalışırken sistem bir anda siparişi onayladı. Bunun üzerine hemen iptal edip aynı ürünü indirimli olarak yeniden sipariş vermek istedim; ancak uygulamada iptal seçeneği sürekli pasif haldeydi ve hiçbir şekilde iptal edemedim. Siparişi verdiğim restoran için uygulamada kayıtlı görünen iletişim numarasını defalarca aradım fakat numara kullanım dışı uyarısı aldım. Uygulama üzerinden de ne restorana ne de Yemeksepeti tarafına ulaşabildim; sanki böyle bir iletişim kanalı yokmuş gibi tamamen çaresiz bırakıldım. Normalde yerinde gidip 200 TL civarına yiyebileceğim bir ürüne, sistemin bu kısıtlaması ve ulaşılamazlığı yüzünden yaklaşık 390 TL ödemek zorunda kaldım. Bu nedenle, yaşadığım mağduriyetin giderilmesi için en azından 200 TL’lik kısmın iadesini, indirim telafisi yapılmasını ya da minimum tutar şartı olmadan kullanılabilecek bir kampanya kodu tanımlanmasını talep ediyorum. Ayrıca, hem iptal seçeneğinin pasif olması hem de iletişim numarasının kullanım dışı olması gibi sorunların incelenip düzeltilmesini, başka kullanıcıların da aynı şekilde mağdur edilmemesini istiyorum.";True;iptal
34647323;Yemeksepeti İptal Talebim Görmezden Gelindi Ve Kupon Uygulanmadı;24 Aralık 01:37;13;;24 Aralık saat 00.40 civarında Yemeksepeti üzerinden yanlış bir sipariş verdim ve hemen ardından iptal etmek istedim ancak siparişim iptal edilmedi. Uygulama içinde ne bir müşteri temsilcisine ulaşabildim ne de çözüm sunan bir merkez bulabildim. Ayrıca bu siparişte kupon kullanmıştım, ancak ödeme aşamasında kuponun uygulanmadığını fark ettim. Sonuç olarak 379,99 TL’yi kredi kartımla ödedim ve ne sipariş iptalim gerçekleşti ne de kuponla ilgili bir düzeltme yapıldı. Hem iptal talebimin dikkate alınmaması hem de kuponun uygulanmaması nedeniyle yaşadığım mağduriyetin giderilmesini, ödeme tutarımın iadesini ve kupon hakkımın tekrar tanımlanmasını istiyorum. Bu yaşadıklarımdan dolayı uygulamayı bir daha kullanmayı düşünmüyorum.;True;iptal
34646998;Sipariş İptali Gerçekleşmedi Ve Müşteri Hizmetlerine Ulaşılamıyor;24 Aralık 01:01;82;;İstanbul Üsküdar’da Yemeksepeti üzerinden verdiğim bir siparişte yaşadığım iptal ve müşteri hizmetlerine ulaşamama sorununu paylaşmak istiyorum. Siparişi iptal etmek istedim ancak uygulama üzerinden iptal işlemini gerçekleştiremedim. Buna rağmen sistemde kayıtlı olmayan evdeki başka numaraların aranması, beni ise bir kere bile aramadan “aradık, ulaşamadık” denilmesi beni rahatsız etti. Ürünü iptal etmek istediğim halde bu kez, siparişini verdiğim ürün yerine benzer başka bir ürün önerildi. Para iadesini daha fazla beklememek ve mağdur olmamak için, istemediğim bir ürüne mecbur bırakılarak bu teklifi kabul etmek zorunda kaldım. Bu süreçte asıl sipariş ettiğim ürünü alamadığım gibi, tercih etmediğim bir ürünle yetinmek durumunda kaldım. Tüm bunlara ek olarak, müşteri hizmetlerine ne telefonla ne de uygulama üzerinden ulaşamıyorum. Görüşme talebi oluşturamıyor, herhangi bir geri dönüş alamıyorum. Hem iptal sürecinin düzgün işletilmemesi hem de iletişim kanallarının kapalı olması nedeniyle mağdur olduğumu düşünüyorum. Yaşadığım bu sorunla ilgili olarak, ödediğim ücretin ve sipariş sürecimin incelenmesini, mümkünse para iadesinin yapılmasını ve müşteri hizmetlerine erişim konusunda kalıcı bir çözüm sunulmasını talep ediyorum.;True;iptal
34646633;Kapalı Restorandan Sipariş Alınması Ve İptal Edilememesi;24 Aralık 00:23;101;;Yemeksepeti üzerinden Köfteci Yusuf’tan sipariş verdim. Siparişim sistemde yaklaşık yarım saat kırk dakikadır “hazırlanıyor” olarak görünmesine rağmen restoranın aslında kapalı olduğunu sonradan öğrendim. Köfteci Yusuf’u telefonla aradığımda mesai saatleri dışında olduklarını ve kapalı olduklarını söylediler. Buna rağmen Yemeksepeti uygulamasında siparişim halen hazırlanıyor gibi gösterildi ve uygulama üzerinden iptal de edemedim. Ödemeyi kredi kartıyla online olarak gerçekleştirdim, dolayısıyla hem mağdur oldum hem de paramın akıbetiyle ilgili net bir bilgi alamadım. Yemeksepeti müşteri hizmetleri ni aradığımda ise bana “Sizi aradık, ulaşamadık” şeklinde bir dönüş yapıldı, fakat ben hiçbir şekilde aranmadım, telefonuma herhangi bir çağrı ya da bildirim gelmedi. Restoranın kapalı olduğu bir durumda siparişe izin verilmesi, ardından da iptal edememem ve aranmadığım halde aranmışım gibi bilgi verilmesi kabul edilebilir bir durum değil. Yaşadığım bu mağduriyetin giderilmesini, ödediğim ücretin en kısa sürede iade edilmesini ve kapalı restoranlardan sipariş alınmaması için gerekli kontrollerin yapılmasını talep ediyorum.;True;iptal
34644661;Sipariş İptalinde Uygulama Engeli Ve Müşteri Desteğine Ulaşılamaması;23 Aralık 20:44;68;;Yemeksepeti üzerinden Dürümle adlı restorandan 23/12/2025 tarihinde verdiğim siparişi iptal etmek istedim, ancak uygulama buna hiçbir şekilde izin vermedi. Uygulamada “Siparişimi iptal etmek istiyorum” butonuna tıkladığımda “Siparişin restorana iletilmiş olması sebebiyle iptal edilemediği” şeklinde bir uyarı çıkıyor ve bu aşamadan sonra ne yaparsam yapayım, işlem ilerlemiyor. Bu durum sırasında müşteri temsilcisine de kesinlikle ulaşamadım. Uygulama üzerinden canlı desteğe ya da herhangi bir iletişim kanalına erişememek, kullanıcı olarak kendimi tamamen çaresiz hissetmeme neden oldu. Siparişle ilgili hiçbir aksiyon almadan, sistemin verdiği tek yanıtla baş başa kaldım. Yemeksepeti’nin, özellikle böyle durumlarda canlı destek kanallarını daha ulaşılabilir hâle getirmesini ve bu iptal ekranındaki süreçle ilgili sistemsel bir düzeltme yapmasını talep ediyorum. Gerekirse bu şikayetle ilgili olarak benimle iletişime geçilirken #euvb-2552-05th numaralı müşteri kaydım üzerinden yardımcı olunmasını rica ederim.;True;iptal
