id;title;date;view_count;rating;content;is_full_content;category
34643767;Turkcell Kuponum Yemeksepeti'nde İşletme Bulunamadı Hatası Veriyor;23 Aralık 19:19;27;;Yemeksepeti uygulamasını indirdikten sonra Turkcell tarafından verilen ilk sipariş indirim kuponumu kullanmak istedim ancak kuponu bir türlü aktif edemiyorum. Kuponu seçip sipariş vermeye çalıştığımda sistem sürekli “işletme bulunamadı” hatasını veriyor ve bu nedenle ilk sipariş indiriminden yararlanamıyorum. İstanbul’da o Ses Çiğköfte’den sipariş vermek isterken, 23 Aralık saat 18:39 civarında bu sorunla karşılaştım. Turkcell faturasız hattıma tanımlı olan kampanya kuponumun son kullanma tarihine yaklaşık 1 hafta olmasına rağmen sistemi düzgün şekilde kullanamıyorum. Yemeksepeti hesabımda kayıtlı telefon numarası ile kuponun tanımlı olduğu Turkcell hattımın numarası farklı, ancak bu konuda herhangi bir bilgilendirme veya kısıtlama da görmüyorum. Sorunla ilgili henüz müşteri hizmetleri veya canlı destek ile de görüşemedim. Turkcell tarafından verilen ilk sipariş indirim kuponumun, Yemeksepeti hesabımda herhangi bir kısıtlama olmadan aktif edilmesini ve sorunsuz bir şekilde kullanabilmem için gerekli teknik ve sistemsel düzenlemelerin yapılmasını talep ediyorum.;True;kampanya
34653915;Yemeksepeti Kuponum Restoranda Kullanılamıyor;24 Aralık 19:53;-;;Yemeksepeti’nde tanımlı olan bir kuponumu kullanmak istediğimde, sistem “kuponun geçerli olduğu işletme bulunamıyor” uyarısı veriyor ve bu nedenle kuponu hiçbir restoranda kullanamıyorum. Kuponun geçerli olduğu herhangi bir işletme listelenmediği için, kupon fiilen kullanılamaz durumda. Bu konuda şu ana kadar Yemeksepeti müşteri hizmetleri yle görüşme yapmadım. Kuponumun boşa gitmemesi ve mağduriyet yaşamamak için, kuponun geçerli olduğu restoranların hesabıma açık ve net şekilde tanımlanmasını ve kuponu sorunsuz bir şekilde kullanabilmeyi talep ediyorum.;True;kampanya
34655532;Yemeksepeti Joker Kampanyası İşletmelerin Karını Yok Ediyor!;24 Aralık 21:48;1;;Yemeksepeti Joker kampanyası işletmeleri ciddi şekilde zarara sokmaktadır. 640 ₺’lik bir siparişte işletmeye kalan tutar yalnızca 193 ₺’dir. Yaklaşık %48’e varan komisyon ve kesintiler uygulanmaktadır. Bu siparişte Joker kapsamında 100 ₺ indirim işletme tarafından yapılmış, bunun üzerine müşteri ayrıca kendi 200 ₺’lik kuponunu kullanmıştır. Yani toplam indirim 300 ₺’ye çıkmıştır. Buna ek olarak 120 ₺ KDV dahil reklam bedeli, komisyon ve diğer kesintiler de işletmeden tahsil edilmiştir. Sonuç olarak indirimi yapan, reklam bedelini ödeyen ve tüm zararı üstlenen işletme olmaktadır. Bu sistem adil değildir ve “kampanya” adı altında işletmeler mağdur edilmektedir.;True;kampanya
34643498;Yemeksepeti Kod Gelmedi;23 Aralık 18:48;29;;23 Aralık 2025 tarihinde saat yaklaşık 17.07 civarında Yemeksepeti üzerinden Ye‑para ile yaptığım işlem sonucunda 3 aylık ücretsiz Spotify Premium kampanyasından faydalandım. İşlem sırasında 85 Ye‑para harcandı ve sistemde Spotify Premium kodunun kayıtlı mail adresi me gönderildiği yazmasına rağmen, hesabıma hiçbir şekilde böyle bir e‑posta ulaşmadı. Kayıtlı e‑posta adresim olarak da n***@gmail.com’u kullanıyorum. Kodun gelmemesi üzerine Yemeksepeti’nin destek kanalları üzerinden yardım almaya çalıştım ancak yalnızca otomatik cevaplarla karşılaştım ve herhangi bir gerçek müşteri temsilcisine bağlanamadım, bu nedenle sorunum çözülemedi. Yapmış olduğum işlem karşılığında hak kazandığım 3 aylık Spotify Premium kodunun, sistemlerinde kayıtlı olan e‑posta adresime tekrar ve eksiksiz şekilde gönderilmesini talep ediyorum.;True;kampanya
34632178;Basliksiz Sikayet;22 Aralık 19:04;1;5.0;;False;kampanya
34622250;Yemeksepeti Yeclub Görevleri Gözükmüyor!;22 Aralık 13:02;84;;;False;kampanya
34621517;İndirim Kodu Mağduriyeti: Sorumluluk Kimde, Çözüm Nerede?;21 Aralık 18:42;29;5.0;Yaklaşık bir aydır Daha Daha üzerinden tanımlanan Yemeksepeti indirim kodumu kullanmaya çalışıyorum. Kod, belirli restoranlar için geçerli görünüyor ancak bu restoranları seçip kullanmak istediğimde uygulamada “Üzgünüz” yazan bir ekran geliyor ve indirim hiçbir şekilde uygulanmıyor. Yaşadığım sorunla ilgili hem Daha Daha hem de Yemeksepeti tarafıyla görüştüm ancak iki taraf da sorumluluğu birbirine atıyor, somut bir çözüm sunulmuyor. Bu süreçte mağduriyet yaşıyorum ve kampanyadan faydalanamıyorum. İndirim kodumun sorunsuz bir şekilde çalıştırılmasını talep ediyorum. Eğer bu mümkün değilse, bu kampanya için harcadığım puanlarımın eksiksiz şekilde hesabıma geri yüklenmesini istiyorum.;True;kampanya
34621081;Yemeksepeti Kuponlarım Teknik Hata Nedeniyle Kullanılamıyor;21 Aralık 17:48;20;;"Yemeksepeti'nin Yeclup üzerinden verdiği 100 TL'lik kuponları kullanamıyorum. Uygulamada kupon kazandıktan hemen sonra kullanmak istediğimde sistem, ""Konumunuzda geçerli restoran yok"" uyarısı veriyor. Ancak aynı konumda Burger King açık ve siparişe uygun görünmesine rağmen kupon geçerli olmuyor. Bu durum daha önce de başıma geldi ve o zaman da 100 TL'lik kuponum bu sebeple boşa gitmişti. Şimdi yine aynısı yaşandı ve tekrar 100 TL'lik kuponum kullanılamadan gitti. Kuponların son kullanma tarihine ve kurallarına uyduğum halde, teknik ya da sistemsel bir hata yüzünden kuponlarımı kullanamıyor ve mağduriyet yaşıyorum. Kuponlarımın geri tanımlanmasını, bu hatanın nedeninin açıklanmasını ve aynı sorunu tekrar yaşamamak için gerekli düzeltmelerin yapılmasını talep ediyorum.";True;kampanya
34620467;Kuponum Kullanılmadı, Fazladan Ödeme Yaptım Ve Mağdur Edildim;21 Aralık 16:36;37;;"Yemeksepeti üzerinden bir restoran’dan 13.20 sularında çiğ köfte siparişi verdim. Siparişi oluştururken 200 TL’lik kuponumun kullanılacağını düşünerek kapıda nakit ödeme seçeneğini tercih ettim; ancak kupon tutarı sisteme hiç yansımadığı için kapıda 300 TL ödemek zorunda kaldım ve kuponum da hesabımdan kayboldu. Kuponun uygulanmadığını, sipariş geçmişime baktığımda fark ettim. Durumu anlayınca siparişi iptal etmek istedim fakat iptal işlemi de gerçekleşmedi ve hem kuponumdan oldum hem de indirimsiz şekilde ödeme yapmak zorunda kaldım. Bu mağduriyetimin giderilmesini ve kullanılamayan 200 TL’lik kupon tutarımın tarafıma iadesini talep ediyorum. Yemeksepeti kayıtlı telefon numaram üzerinden bana ulaşırsanız süreci birlikte netleştirmek istiyorum.";True;kampanya
34619645;Yemeksepeti Kuponum İptal Sonrası Tekrar Kullanılamıyor;21 Aralık 14:53;23;1.0;"Yemeksepeti üzerinden iki gündür kupon kullanmaya çalışıyorum, ancak sistem sürekli olarak ""Kupon geçerli değil, bu kupon yalnızca yeni kullanıcılar için geçerlidir, bilgilerinizi başka hesapta da kullanıyor olabilirsiniz"" şeklinde uyarı veriyor. Oysa aynı kuponu dün akşam bir kez sepetimde başarıyla uygulayabildim, daha sonra o siparişi iptal edip sepetten sildim. Bu işlemden sonra ne alırsam alayım aynı hatayı almaya başladım. Kupon kodum t7mv8wzr7le3 ve kampanya şartlarında 350 TL’lik alışverişe 230 TL indirim yazıyordu. Ben de yine şartlara uygun şekilde sepet oluşturup kartla ödeme yapacaktım. Kuponu ilk uyguladığım aynı siparişi tekrar girdiğimde bile bu kez kuponu kabul etmedi. Yaşadığım bu teknik sorun nedeniyle kampanyadan faydalanamıyorum. Kuponumun yeniden aktif edilmesini veya aynı tutarda eşdeğer bir indirim tanımlanmasını ve bu hatanın neden yaşandığı konusunda bilgilendirilmek istiyorum.";True;kampanya
