id;title;date;view_count;rating;content;is_full_content;category
34632242;Kendi Kuryemle Çalışma Talebime Uzun Süredir Yanıt Alamıyorum;22 Aralık 19:14;89;;"Uzun süredir Yemeksepeti’nde kayıtlı olan restoranım Payidar bir'Lahmacun için, yaklaşık 8 Aralık’tan bu yana kendi kuryemle çalışmak istediğimi defalarca iletmeme rağmen hiçbir şekilde dönüş alamıyorum. Talebimi açıkça belirtmiş olmama rağmen, süreçle ilgili bana net bir bilgi verilmiyor. Telefon ve e-posta yoluyla sayısız kez müşteri hizmetleri yle görüştüm. Her seferinde sadece “kayıt oluşturduk” denilerek geçiştiriliyorum; ne bir açıklama yapılıyor ne de geri dönüş sağlanıyor. Bu belirsizlik hem iş planlamamı zorlaştırıyor hem de kendi kuryemle çalışamadığım için yüksek komisyon yüküyle karşı karşıya kalıyorum. Artık bu konuyla ilgili tarafıma net ve yazılı bir geri dönüş yapılmasını, restoranım Payidar bir'Lahmacun’un kendi kuryesiyle çalışması için gerekli tanımlamaların acilen yapılmasını talep ediyorum.";True;komisyon
34637732;Yemeksepeti'nde Şablon Mesajlarla Oyalayan Ve Sorumluluk Almayan Hizmet Anlayışı;23 Aralık 11:00;156;1.0;"Yemeksepeti'nin Şablon Mesajları ve Müşteri Aklıyla Alay Eden Hizmet Anlayışı Bu şikayeti sadece dün yaşadığım tek bir olay üzerine değil, uzun süredir gözlemlediğim ve artık kronikleşen bir ""hizmet verememe"" sorunu üzerine yazıyorum. Dün akşam saatlerinde verdiğim yemek siparişi, uygulama üzerinde neredeyse bir saat boyunca ""Hazırlanıyor"" ve ardından ""Yolda"" statüsünde göründü. Süre çok uzayınca restoranla bizzat iletişim e geçtim şunu öğrendim: Sipariş restorana hiç düşmemişti. Yemeksepeti'nin sistemi yüzünden 1 saat boyunca gelmeyecek bir yemeği bekledim. Uygulama ise muhtemelen süre dolduğu için otomatik olarak ""Siparişiniz yolda"" yalanını söylüyordu. Müşteri temsilcisine bağlandığımda ise yine aynı senaryo yaşandı. Temsilci, restoranla görüşüp siparişin iletilmediğini teyit etti ve iptal işlemi yaptı. Buradaki asıl sorun siparişin teknik bir hatayla iletilmemesi değil; her sistemde hata olabilir. Asıl sorun, Yemeksepeti’nin kriz anında takındığı tavırdır. 1. Robotlaşmış İletişim: Karşımızda bir muhatap yok. ""Sizin sisteminiz yüzünden mağdur oldum, sorumlusu kim? "" diye sorduğumda, sadece kopyala-yapıştır şablon mesajlarla (geri bildiriminiz önemli, kayıt aldık vb.) geçiştirildim. 2. Müşteriyi Hafife Alma: Eskiden Yemeksepeti denince ""insan"" odaklı, samimi bir çözüm merkezi akla gelirdi. Yemek Sepeti müşteri hizmetleriyle konuşurken bir insan ile konuştuğumuzu hissederdik. Hatta bu konuşmalardan bazıları sosyal medyada yer edinmiş, şirketin samimiyetinin bir göstergesi olarak çok güzel bir tanıtım aracına dönüşmüştü. Şimdi ise kurumsallaşma adı altında müşteriyi sadece oyalayan, aklıyla alay eden bir yapı var. 3. Sorumluluk Reddi: Geçmişte de eksik sipariş sorunlarında ""yasal uyarı"" yapar gibi konuşmaların paylaşılmasını yasaklayan tehditvari bir üslupla karşılaşmıştım. Firma, restoran ile müşteri arasında köprü kurup komisyon alırken var; ancak sorun çıktığında hiçbir sorumluluk almıyor. Özetle; risk almadan, sorumluluk üstlenmeden ve müşteriyi ""şablon mesajlarla"" oyalayarak yürütülen bu operasyonu kabul etmiyorum. Ufak tefek aksaklıkları telafi edecek bir jest veya samimi bir özür bile sunamayan bu yapı, müşteri memnuniyetinden tamamen uzaklaşmıştır. Sonuç olarak: Artık Yemeksepeti'ni sadece bir ""telefon rehberi"" olarak kullanacağım. Restoranı bulup, doğrudan kendilerini arayarak sipariş vereceğim. En azından bir sorun olduğunda karşımda gerçek bir muhatap bulabiliyorum ve komisyon emekçinin cebine kalıyor.";True;komisyon
34655733;Kendi Kuryemi Kullanmak İstediğimde Yemeksepeti Geri Dönüş Yapmadı;24 Aralık 21:48;-;;İstanbul Beylikdüzü’nde hizmet veren Smashcraft Burger adlı restoranım için Yemeksepeti üzerinden yaklaşık 6 aydan uzun süredir ciddi bir mağduriyet yaşıyorum. Restoranım ilk açıldığında kendi kuryemiz olmadığı için Yemeksepeti kuryesini kullanmak zorunda kaldık. O dönem temsilciler, ileride kendi kuryemizi kullanmak istersek talep açmamızın yeterli olacağını, hemen değişiklik yapılacağını ve bunun hiçbir sorun olmayacağını özellikle belirttiler. Kendi kuryemizi oluşturmamızın ardından, yüksek komisyon maliyetleri nedeniyle Yemeksepeti kuryesini iptal edip teslimatları tamamen kendi kuryemizle yapmak istediğimizi defalarca ilettik. Uygulama üzerinden en az 6–7 defa kayıt açmama rağmen ne arayan oldu ne de tarafıma herhangi bir geri dönüş yapıldı. Bu durum, hem işletmem açısından ciddi bir malı yük oluşturuyor hem de bize, Yemeksepeti kuryesini kullanma konusunda adeta zorunlu bir dayatma yapılıyormuş hissi veriyor. Yemeksepeti’nden, daha önce söz verildiği şekilde restoranım için Yemeksepeti kuryesinin derhal iptal edilmesini ve teslimatları tamamen kendi kuryemle yapabileceğim şekilde hesabımın güncellenmesini talep ediyorum. Uzun süredir geri dönüş yapılmayan bu mağduriyetimin acilen giderilmesini rica ediyorum.;True;komisyon
34528424;Yemeksepeti Express'ten Çıkışta Karşılaştığımız Zorluklar Ve Yüksek Komisyon Sorunu;12 Aralık 02:27;364;1.0;Oburger Kayseri şubesi olarak yaklaşık 5 yıldır Yemeksepeti’nde faaliyetteyiz. Uzun süre boyunca kendi kuryemizle teslimat yapıp yüzde 10 komisyon ödeyerek sorunsuz bir şekilde çalışıyorduk. Geçtiğimiz yıl deneme amaçlı olarak Yemeksepeti Express taşımacılığına geçtik ve siparişleri Yemeksepeti’nin kendi kuryelerinin götürmesini kabul ettik. Ancak, keşke bu değişikliği yapmasaydık diyorum. Şu anda Yemeksepeti Express sisteminden çıkmak istiyorum fakat adeta zorla bu hizmette tutuluyorum. Yüzde 40’lara varan komisyon oranlarıyla çalışmak zorunda bırakılıyorum. Kendi isteğimle girdiğim bir hizmetten yine kendi isteğimle çıkmak istiyorum. Buna rağmen, “Çıkamazsınız, biz taşıyacağız, bu komisyonu almak zorundayız” şeklinde cevaplar alıyorum. Bir hizmete zorla tabi tutulmak ve kendi kuryemi kullanmak isterken buna engel olunması, ticari ve etik açıdan kabul edilebilir bir durum değil. Yaklaşık 1 aydır süren bu yeni süreçte bana, sistemden çıkabilmem için bir ay beklemem gerektiği, bu bir ay içinde gelen siparişlerin belirli bir oranını iptal etmem gerektiği, ayrıca kendi kurye kaynaklı iptallerimin de yüzde 4 seviyesinde olması gerektiği söylendi. Yani özetle, daha fazla sipariş iptali yaparsam belki bir ay sonra sistemden çıkarılabileceğim ifade edildi. İş ortağı olduğumuz bir platformun, kendi ayaklarımızla satın aldığımız bir hizmeti bu şekilde bir baskı aracına dönüştürmesini ve bizi sanki bir esir kampındaymışız gibi hissettirmesini asla doğru bulmuyoruz. Biz sadece restoranımız için en uygun kurye yöntemini seçmek ve aşırı yüksek komisyon oranları olmadan, sürdürülebilir bir çalışma düzeni kurmak istiyoruz. Yemeksepeti Express taşımacılığından kendi isteğimizle, hiçbir şart ve yaptırım olmadan çıkmak ve tekrar kendi kuryemizle teslimat yaparak makul komisyon oranlarıyla çalışmak istiyoruz. Bu süreçte yaşadığımız zorlamanın ve iptal dayatmalarının sonlandırılmasını, iş ortaklığına yakışır şekilde çözüm üretilmesini talep ediyorum. Aksi halde mecburen restoranımızı platformdan kapatmak durumunda kalacağız ve bu yaşadığımız süreci de müşterilerimize açıklamak zorunda kalacağız.;True;komisyon
34533530;Yemeksepeti'nde Kendi Kuryeme Geçişte Haksız Şartlar Ve Mağduriyet;12 Aralık 16:16;257;;Yaklaşık iki haftadır Yemeksepeti uygulamasında kendi kuryemi kullanmak istiyorum ancak bu konuda ciddi şekilde mağdur ediliyorum. Bir restoran işletmecisi olarak, kendi kuryemi kullanmak istediğimi belirttiğimde bir ay daha aynı yüksek komisyon oranıyla devam etmem ve bu süreçte iptal edilen sipariş oranımın yüzde otuzun üzerine çıkması yönünde şart koşuldu. Bu süreçte hem ciddi müşteri kaybı yaşayacağım hem de işe aldığım kurye için bir ay boyunca boşa ödeme yapmak zorunda kalacağım. Sisteme ilk dahil olurken kendi kuryeme geçişin hızlı ve kolay bir şekilde yapılabileceği söylenmişti. Ancak gelinen noktada, adeta 'girmek var, çıkmak yok' anlayışıyla hareket edildiğini görüyorum ve bu durum işleyişimi olumsuz etkiliyor. Başından beri beklentim, kendi kuryemi kullanarak komisyon oranımın yüzde 38 yerine yaklaşık yüzde 12 seviyesine düşürülmesi ve bu geçişin makul, adil ve hızlı bir şekilde sağlanmasıydı. Müşteri hizmetleri yle yaptığım görüşmelerde bu şartlar konusunda ısrarcı davranılıyor ve herhangi bir esneklik ya da çözüm odaklı yaklaşım gösterilmiyor. Kendi kuryemi kullanarak devam edebilmem, komisyon oranımın düşürülmesi ve bu süreçte müşteri kaybı ile kurye maliyetiyle mağdur edilmememin sağlanmasını talep ediyorum.;True;komisyon
34522686;Ücretsiz Denilen Reklam İçin Yüksek Kesinti Ve Eksik Ödeme Mağduriyeti;11 Aralık 16:55;226;1.0;Yemeksepeti restoran panelimizi 25 Kasım’da açtık. Açılışa özel olarak bize “ilk ay ücretsiz, size reklam tanımladık” denilerek CPM/CPC adı altında bir reklam açıldı. Ancak bu reklamdan sadece 6 sipariş gelmesine rağmen, toplamda 100 sipariş aldık ve buna rağmen tarafımıza yapılan ödemede çok ciddi kesintilerle karşılaştık. Toplam satış ciromuz 40.000 TL’nin üzerindeyken, hesabımıza yatan tutar sadece 12.000 TL oldu. Yani yaklaşık %70’e varan bir kesinti yapıldı. Bunun üzerine bir de “ücretsiz” denilen reklam için 5.000 TL tutarında ek kesinti uygulanmış. Ücretsiz denilen bir reklamın faturadan bu şekilde düşülmesi, hesabını bilmeyen işletmeleri yanıltmaya yönelik bir sistem gibi görünüyor ve bu şartlarda kâr etmek neredeyse imkansız hale geliyor. Aydella Büyükçekmece şubesi için, restoran ID: i52n üzerinden bu işlemler yapıldı. Müşteri temsilcisiyle görüştüğümde, tutarın yanlış olduğunu kabul ediyor ve “Haklısınız, kayıt açtım” demekten başka bir aksiyon alınmıyor. E-posta atıyorum, geri dönüş yapılmıyor, yetkili biriyle görüşmek istediğimde de hiçbir şekilde görüştürülmüyorum. %70’e yakın komisyon kesiminin üzerine bir de “promosyon” ve “ücretsiz reklam” adı altında ekstra tutarlar alınması, işletme açısından kabul edilebilir bir durum değil. Bu nedenle, hesaplarımızda haksız ve fazla kesilen tüm tutarların, özellikle ücretsiz denilen 5.000 TL’lik reklam ücreti de dahil olmak üzere, en kısa sürede tarafımıza iade edilmesini ve bu konuda yazılı ve net bir açıklama yapılmasını talep ediyorum.;True;komisyon
34414653;Kapanan Restoranım İçin Bilgilendirme Yapılmadan Haksız İcra Takibi Başlatıldı;01 Aralık 22:16;331;;"Yaklaşık bir yıl önce işlettiğim “Adıyaman Çiğ Köfte S**** U***” isimli restoranımı kapatmama rağmen, Yemeksepeti tarafından iki gün önce 26.011,72 TL tutarında bir icra dosyasıyla karşılaştım. Herhangi bir borç bildirimi, aranma ya da SMS/mail yoluyla bilgilendirme yapılmadan, kendi aralarında belirledikleri komisyon ve reklam ücreti adı altında doğrudan icraya verilmişim. Restoranı kapattıktan sonra tarafıma hiçbir şekilde borçla ilgili bir bilgi gelmedi; ne arayan oldu ne de yazılı bir uyarı aldım. Durumu fark eder etmez Yemeksepeti ile iletişim e geçtim, müşteri hizmetleri ni aradım ancak sadece “aranacaksınız” denilip oyalanıyorum ve kimse geri dönüş yapmıyor. Aynı zamanda firmamı kapattıktan sonra Komagene bayiliği ile çalışmaya devam ettim ve komisyon ile reklam giderleri Komagene firmam üzerinden ödenerek carime eksi bakiye olarak yansıtıldı. Buna ek olarak, işletmem 01.06.2025 tarihinde resmi olarak kapatıldığı için bu tarihten sonra vergilendirme yapılmaması gerekirken, mağazam kapalı olmasına rağmen 28.10.2025 tarihine kadar hâlâ borç yazılmaya devam edilmiştir. Herhangi bir bilgilendirme yapılmadan, kapalı bir işletme üzerinden bu şekilde icra işlemi başlatılmasını haksız ve kabul edilemez buluyorum. Ankara Mamak’ta açılan bu icra dosyasının derhal incelenmesini, haksız yere çıkarılan bu borcun iptal edilmesini ve icra dosyasının tamamen kapatılmasını talep ediyorum.";True;komisyon
34375385;Kendi Kuryemi Kullanamıyorum Mağduriyetim Giderilmiyor;27 Kasım 23:10;375;1.0;"İstanbul Pendik Batı Mahallesi’nde işletmekte olduğum restoranım için Yemeksepeti’nde kendi kuryeme geçmek istiyorum; ancak yaklaşık iki aydır, Ekim ayından bu yana bu talebimle ilgili olarak sürekli oyalanıyorum. Bu süreçte defalarca, yaklaşık yüz kez aramama rağmen tarafıma hiçbir şekilde geri dönüş yapılmadı ve herhangi bir işlem başlatılmadı. Bu süre içinde kendi kuryemi işe aldım ve artık siparişlerin paketlemesini ve teslimatını kendim yönetmek, paketleri kendim göndermek istiyorum. Buna rağmen sistemde kendi kuryeme geçişim yapılmadığı için hâlâ Yemeksepeti kuryelerini kullanmak zorunda kalıyorum ve yüksek komisyon oranları nedeniyle işletmem ciddi anlamda zarar görüyor. Kendi kuryemle teslimata geçiş talebimin acilen işleme alınmasını, konu hakkında net ve yazılı bir bilgilendirme yapılmasını ve bu kadar uzun süre geri dönüş yapılmamasından kaynaklanan mağduriyetimin giderilmesini istiyorum.";True;komisyon
34390190;Joker Kampanyası Nedeniyle Aşırı Komisyon Kesintileri Ve Maddi Zarar;29 Kasım 13:51;448;;İşletmemi Yemeksepeti üzerinden Joker kampanyasına dahil ettim. Ancak kampanyaya girdiğim andan itibaren “Joker bedeli” ve “Joker KDV bedeli” adı altında iki kez ve çok yüksek oranlarda komisyon kesildiğini fark ettim. Zaten kâr etmeyen bir işletmeyken bu kesintiler nedeniyle ciddi anlamda zarara uğramaya başladım. Örneğin 800 TL’lik bir siparişte, kesilen komisyon ve Joker bedelleri sonrası bana sadece 346,55 TL ödeme yapılıyor. Yani ödeme eksik yatmıyor, ancak haddinden fazla kesinti yapıldığı için sipariş başına ciddi zarar ediyorum. Bu durumda satış yaptıkça zarar eder hale geldim. Yaklaşık 2 gündür Joker kampanyasındayım ve bu zararı gördüğüm için kampanyadan çıkmak istedim. Müşteri temsilcisiyle görüştüğümde talebimin değerlendirileceği söyleniyor ancak işletmem Joker’den çıkarılmıyor ve kesintiler aynı şekilde devam ediyor. Bu durum işletmeme ciddi maddi zarar veriyor. İşletmemin derhal Joker kampanyasından çıkarılmasını ve kesilen komisyon, Joker ve KDV bedellerinin oranlarının açık ve şeffaf bir şekilde tarafıma yazılı olarak açıklanmasını talep ediyorum. Ayrıca bu aşırı kesintiler nedeniyle oluşan zararımın da incelenip tarafıma iade edilmesini istiyorum.;True;komisyon
34247295;Kendi Kuryeme Geçiş Talebime Yemeksepeti'nden Yanıt Alamıyorum, İşlerim Aksıyor;16 Kasım 02:11;652;;Yemeksepeti iş ortağı olarak Ankara Aktepe’de hizmet veren Zirve Soğuk Baklava işletmecisiyim. Yaklaşık 2 aydır kendi kuryeme geçiş yapmak istiyorum. Komisyon oranlarının yüksek olması nedeniyle kendi kuryemle çalışarak bu oranı düşürmek ve fiyatlarımı müşterilerim için daha uygun hale getirmek istiyorum. Bu süreçte defalarca telefonla aradım ve e-posta gönderdim (p*******@partners.yemeksepeti.com), ancak tarafıma hiçbir şekilde geri dönüş yapılmadı. Sistemsel bir sorun nedeniyle kendi kuryeme geçişim onaylanmıyor ve bu durum işleyişimi olumsuz etkiliyor. Yemeksepeti’nden beklentim, kendi kuryeme geçiş talebimin hızlıca değerlendirilip onaylanması ve tarafıma dönüş yapılmasıdır. Sorunumun acilen çözülmesini rica ediyorum.;True;komisyon
