id;title;date;view_count;rating;content;is_full_content;category
34662671;Yemeksepeti'nde Dürüm Fiyatı Restoranın Çift Katına Çıktı Ve Şeffaf Değil;25 Aralık 16:00;-;;Yemeksepeti üzerinden özellikle dürüm siparişi verdiğimde, son 1 aydır ciddi bir fiyat farkı ile karşılaşıyorum. Restoranda 100 TL olan ürünü Yemeksepeti’nde 200 TL olarak görüyorum. Aynı ürünün, aynı şehir ve ilçede, yani Bilecik Merkez’de bu kadar farkla yer alması bana göre son derece haksız bir durum. Uygulamada herhangi bir ek hizmet, komisyon ya da masraf açık ve net bir şekilde gösterilmeden ürün fiyatının bu şekilde iki katına çıkması müşteriyi yanıltıyor. Ben siparişi verirken dürümün gerçek fiyatını bilmek ve varsa ek ücretleri de şeffaf şekilde görmek istiyorum. Yemeksepeti’nden beklentim, restoran fiyatları ile uygulama fiyatları arasındaki farkın açıkça belirtilmesi ve müşterinin kandırılıyormuş hissine kapılmayacağı, şeffaf ve adil bir fiyatlandırma politikasının uygulanmasıdır.;True;odeme
34662405;Yemeksepeti’nde Kartlarım Reddediliyor Ve Destek Bulamıyorum;25 Aralık 15:38;4;;Yemeksepeti uygulaması üzerinden online kredi kartı ile ödeme yapmak istediğimde sürekli “ödemeniz reddedildi” uyarısı alıyorum. Aynı sorunu farklı zamanlarda, farklı restoranlarda ve farklı kredi kartlarımla (Yapı Kredi, Denizbank ve Hadi kredi kartları) denememe rağmen yaşamaya devam ediyorum. Aynı kartlarla Getir ve Trendyol gibi diğer platformlarda hiçbir problem olmamasına rağmen, yalnızca Yemeksepeti’nde bu hatayla karşılaşıyorum. Yaklaşık 24 saattir defalarca deneme yaptım ancak sorun düzelmedi. Sorunu anlatıp çözebilmek için telefonla ulaşabileceğim bir numara bulamıyorum. Mail gönderdiğimde ise yalnızca otomatik yanıt alıyorum ve gerçek bir inceleme yapılmadığını hissediyorum. Canlı destek ve diğer kanallar üzerinden de kimseye ulaşamıyorum, sadece otomatik teşekkür mesajları geliyor, bu nedenle sorun çözülemiyor. Yemeksepeti’nden, yaşadığım ödeme sorununun detaylı şekilde incelenip düzeltilmesini ve bu konuyla ilgili tarafıma bilgilendirici bir geri dönüş yapılmasını talep ediyorum.;True;odeme
34660350;Yemeksepeti'nde Çift Çekim Ve İade Talebi;25 Aralık 12:55;3;;22 Aralık tarihinde Yemeksepeti üzerinden Original Pizza&Kumpir adlı restorandan kredi kartımla verdiğim siparişimde, sipariş tutarım bilgim olmadan iki kez çekim yapılmış. Toplam 619,99 TL tutarında bir ödeme görünmekte ve bu tutarın içinde fazladan çekilen bir miktar bulunuyor. Bu durumu bugün hesap hareketlerimi kontrol ederken fark ettim. Ardından Yemeksepeti tarafına ulaşmaya çalıştım ancak müşteri hizmetleri ne bir türlü ulaşamadım ve sorunumla ilgili herhangi bir dönüş alamadım. Fazladan çekilen tutarın bir an önce kredi kartıma iade edilmesini ve ödeme ile ilgili gerekli kontrolün yapılarak tarafıma bilgilendirme yapılmasını talep ediyorum.;True;odeme
34652286;Yemeksepeti Tek Siparişte Bölünemez Ödeme Ve Fazla Kurye Ücreti;25 Aralık 11:27;-;;Yemeksepeti üzerinden aynı restorandan, aynı adrese iş yerindeki arkadaşlarımla birlikte sipariş vermek istiyoruz. Çalışma düzenimiz gereği yemek molalarımız belirli saatlerde ve herkes kendi yemeğini kendi yemek kartından ödemek zorunda. Ancak Yemeksepeti tek seferde verilen bir siparişi kişi kişi bölmeye izin vermiyor, sistemlerinin böyle olduğunu söylüyorlar. Biz tek seferde, tek kurye ile gelecek bir siparişte herkesin kendi payını kendi yemek kartıyla ödeyebilmesini istiyoruz. Buna izin vermedikleri için de tek tek ayrı sipariş verilmesini istiyorlar ve her bir siparişe ayrıca kurye ücreti yansıtılıyor. Aynı restorandan, aynı adrese, aynı anda gelecek bir siparişte neden ayrı ayrı sipariş verip her seferinde kurye ücreti ödeyelim, bunun mantığını anlamıyoruz. Bu uygulamanın bilinçli olarak, daha fazla kurye ücreti almak için yapıldığını düşünüyoruz ve çalışanları zor durumda bırakıyor. Bu sebeple artık Yemek Sepeti’nden sipariş vermemeyi tercih ediyoruz. Yemeksepeti’nden beklentimiz, aynı restorandan verilen tek bir siparişin içindeki ürünlerin farklı kullanıcılar tarafından, kendi yemek kartlarıyla parça parça ödenebilmesine imkan sağlayacak bir sistem geliştirmesidir.;True;odeme
34656519;Kredi Kartımdan Ücret Çekildi, Sipariş Oluşturulmadı;24 Aralık 22:50;-;;24 Aralık 2025 tarihinde saat 21:32’de Yemeksepeti üzerinden yemek siparişi verdim. Ödemeyi kredi kartımla yaptım, kartımdan ücret çekildi ancak sistemde sipariş oluşturulmadı ve herhangi bir onay ya da sipariş numarası almadım. Ödeme alınmasına rağmen siparişimin görünmemesi nedeniyle mağdur oldum. Bu hata nedeniyle kartımdan çekilen tutarın en kısa sürede iade edilmesini talep ediyorum. Hesabımda kayıtlı telefon numaram 0534***2604’tür, incelemenin bu bilgiler üzerinden yapılarak ücret iademin gerçekleştirilmesini istiyorum.;True;odeme
34659762;Mastercard Kartı Kaydedilemiyor Ve Ödeme Reddediliyor;25 Aralık 11:27;-;;Yemeksepeti uygulamasında Mastercard kartımı bir türlü kaydedemiyorum. Ödeme ekranında kart bilgilerimi girdiğimde sistem sürekli olarak ödemeyi reddediyor ve kartı kaydetmiyor. 01.12.2025 tarihinden beri, yani yaklaşık 25 gündür defalarca denememe rağmen aynı sorun devam ediyor. Bu denemeler sırasında sistemde “Yemeksepeti hesabınızdaki telefon numarasıyla hesabınıza eşli Masterpass hesabınızdaki telefon numarası uyuşmuyor. Lütfen Mastercard ile iletişim e geçiniz.” uyarısını alıyorum. Ancak Mastercard hesabımda kayıtlı telefon numarası ile Yemeksepeti hesabımda kullandığım telefon numarası zaten aynıdır, buna rağmen sistem telefon numaraları uyuşmuyor şeklinde hatalı uyarı vermeye devam etmektedir. Tüm bu uyarılara ve defalarca denememe rağmen sorunum çözülemiyor ve kartımı hâlâ kaydedemiyorum. Uygulama üzerinden destek almaya çalıştığımda ise müşteri hizmetlerine ulaşmakta çok zorlanıyorum, neredeyse hiç muhatap bulamıyorum. Mastercard kartımın, telefon numaralarım her iki tarafta da aynı olmasına rağmen, Yemeksepeti uygulamasına sorunsuz şekilde eklenmesini ve ödeme yapabilecek hale getirilmesini, ayrıca bu konuda tarafıma acil olarak dönüş yapılıp detaylı bilgilendirme verilmesini talep ediyorum.;True;odeme
34638892;Yemeksepeti'nde 360 TL Görünen Siparişe 1002 TL Ödemek Zorunda Kaldım;23 Aralık 12:44;122;;"Yemeksepeti üzerinden PizzaLazza’dan Joker indirimiyle pizza siparişi verdim. Sipariş tutarı uygulamada 360 TL olarak görünüyordu ve ödemeyi Setcard ile yapmayı seçtim. Siparişim onaylandı, herhangi bir uyarı ya da tutar değişikliği gösterilmedi. 23 Aralık 2025 tarihinde saat 10:28 civarında gelen siparişte, fiş/paket üzerinde 1002 TL yazdığını gördüm ve ödeme benden bu tutar üzerinden alındı. Tutarı görünce hemen durumu sordum, “bize böyle düştü, yapacak bir şey yok” denildi. Uygulamada 360 TL görünen bir sipariş için restoranda 1002 TL ödemek zorunda bırakıldım. Yemeksepeti tarafına bağlanmaya çalıştığımda “talep açtık, restoranla görüşün” denildi, restoran ise sorumluluk kabul etmeyip yine platformu işaret etti. Sonuç olarak, sistemsel ya da aralarındaki anlaşmazlık nedeniyle aradaki farkı ben ödemek zorunda kaldım. Platformda 360 TL görünen bir sipariş için, sistemleri bu fiyatı kabul etmeyecekse zaten onay vermemeleri gerekirdi; onay verip ürünü gönderdikten sonra benden 1002 TL talep edilmesi kabul edilebilir bir durum değil. Yemeksepeti’nden, bu siparişte benden tahsil edilen 1002 TL ile platformda görünen 360 TL arasındaki farkın tarafıma iade edilmesini ve bu tür fiyat tutarsızlıklarının tekrar yaşanmaması için gerekli kontrollerin yapılmasını talep ediyorum. İlgili sipariş numaram: #coğu-2552-p6qa.";True;odeme
34631204;İzinsiz Yapılan İşlem Sonucu Hesabımdan Çekilen Paranın İadesini Talep Ediyorum;22 Aralık 17:44;71;;21.12.2025 tarihinde saat 16:28’de Yapı Kredi banka kartımdan, tarafıma hiçbir bilgilendirme yapılmadan ve bana ait olmayan bir işlemle 220 TL para çekilmiştir. İşlem dekontu elimde mevcuttur ve bu harcamayı kesinlikle ben yapmadım. Konu ile ilgili Yapı Kredi çağrı merkezi ni aradığımda, işlemin kendileriyle alakalı olmadığı, Yemeksepeti ile görüşmem gerektiği söylendi. Ancak Yemeksepeti’nin paylaştığı iletişim numaralarından hiçbirine ulaşamıyor, herhangi bir geri dönüş alamıyorum. İznim ve onayım olmadan gerçekleştirilen bu işlem nedeniyle hesabımdan çekilen 220 TL’nin ivedilikle tarafıma iadesini talep ediyorum. Aksi takdirde yasal haklarımı kullanarak Tüketici Mahkemesi'ne başvuracağımı belirtmek isterim.;True;odeme
34628875;Yemeksepeti Zorla Nakit Ödeme, Hijyen Sorunu ve İptal Edilen Sipariş;22 Aralık 14:59;34;;22.12.2025 tarihinde saat 13.00 civarında Yemeksepeti üzerinden Uniq Popeyes şubesinden verdiğim siparişte hem ödeme sürecinde hem de ürün kalitesinde ciddi bir sorun yaşadım. Ödeme yöntemi olarak uygulamada kapıda kredi/banka kartı ile ödemeyi seçmeme rağmen, siparişi getiren kurye benden nakit ödeme talep etti. Kendisine nakitimin olmadığını ve kredi kartı ile ödeme seçtiğimi söylememe rağmen, yemeği bırakıp “Başka bir kurye arkadaş gelip ödemeyi alacak.” diyerek ayrıldı. Yemeğe başladıktan kısa bir süre sonra aynı kurye tekrar gelerek yemeği iade etmemi istedi. Yemeğe başlamış olduğumu ve kartla ödeyebileceğimi tekrar ifade etmeme rağmen, ürünü geri vermem için beni zorladı ve adeta zorla nakit ödeme almaya çalıştı. “Siparişinizi iptal edeceğim, yemeği geri verin.” şeklinde ısrar edince çaresiz kalarak nakit bulup ödemek zorunda kaldım. Bu süreçte hem psikolojik olarak rahatsız oldum hem de yemeğimden hiçbir şekilde keyif alamadım. Tüm bu yaşananların üzerine, yemeğin içinden kıl çıkmasıyla beraber hem hijyen açısından ciddi bir sorunla karşılaştım hem de midem tamamen bulandı. Üstelik uygulamada siparişim iptal edilmiş olarak görünüyor. Yani hem zorla nakit ödeme yapmak zorunda bırakıldım hem de sistemde siparişim iptal görünmesine rağmen ödediğim ücret ortada kaldı. İlgili siparişe ait Yemeksepeti sipariş kodum #a***’tür. Bu yaşananlar nedeniyle hem Popeyes Uniq şubesi hem de Yemeksepeti süreç yönetiminden son derece rahatsızım. Zorla ödetilen nakit tutarın tarafıma iade edilmesini, siparişimin iptal edildiği halde neden bu şekilde bir ödeme süreci yaşandığının araştırılmasını ve kurye ile ilgili gerekli işlemlerin yapılmasını talep ediyorum. Yaşadığım bu deneyimden sonra uygulamayı kullanma konusunda ciddi güvensizlik duyduğumu belirtmek isterim.;True;odeme
34620035;Yemeksepeti'nden Verilen Sipariş Teslim Edilmedi, Ücret İadesi Ve Destek Hattı Talebi;21 Aralık 15:43;27;;Bugün saat 12.44’te Yemeksepeti üzerinden İzmir Karabağlar’da bulunan Köfteci Yusuf’tan yaklaşık 1500 TL tutarında kartla ödeme yaparak sipariş verdim. Üzerinden 3 saat geçmesine rağmen siparişim hala teslim edilmedi. Restoranı aradığımda, böyle bir siparişin kendilerinde görünmediğini ve siparişin kendilerine hiç ulaşmamış olabileceğini söylediler. Buna rağmen Yemeksepeti üzerinden kartımdan ücret çekildi ve ortada ne sipariş var ne de muhatap bulabiliyorum. Yemeksepeti uygulamasında müşterilerin ulaşabileceği bir çağrı merkezi numarası ya da canlı destek hattı bulamadım. Uygulamadaki telefon numaralarının sadece restoran çalışanları için olduğunu öğrendim ve bu yüzden yaşadığım mağduriyeti kimseye iletemiyorum. Hem ödediğim 1500 TL’nin iadesinin yapılmasını hem de bu kadar uzun süre mağdur edilmemle ilgili tarafıma açıklama yapılmasını istiyorum. Müşterinin bu kadar sahipsiz bırakılmaması ve ulaşılabilir bir destek hattı sunulmasını talep ediyorum.;True;odeme
