Puan;Başlık;Yorum;Vote
2;Donma Sorunu İos;Uygulama 25.49.0 sürümü iphone 6s ios 15.8. 2 sürümünde uygulamaya bir kez girdikten sonra tekrar girmiyor lütfen düzeltirmisiniz ?;0
1;Tam bir rezalet;Gece 00.30 da sipariş verdim ancak saat 4.22 olmasına rağmen hiç bir şey gelmedi buna ek olarak birde teslim girildi ne müşteri temsilcisi var ne başka bir yer gece 4.30 da napacağımı bilmiyorum destek filan yok.;0
1;berbat ötesi;İnsanı açlıktan öldürür bu o. evlatları;0
1;REZİLLİK!!!;Canlı destek yok, müşteri hizmetlerine ulaşılmıyor! Müşterilerini tamamen restoranın insafına bırakıyorsanız ne diye uygulamayı kullanıp size para kazandıralım telefonla sipariş ederiz! İşinize saygınız yok. Bir daha asla ama asla sipariş vermeyeceğim!;0
1;İletişim yok;Müşteri hizmetleri yok telefonu suratınıza kapatıyolar eksik ürün gönderiyolar aman dikkat edin;0
1;Kazıklıyosunuz;Hizmet bedeli, servis bedeli , getirme ücreti adı altında milleti kandırıp 2-3 katı para alıyorsunuz haram olsun siliyorum uygulamanızı;0
1;Para tuzagı;Uygulamada iade yapamadım daha sipariş edeli 2 saniye olmasına rağmen üstüne telefonlarım açılmıyor bilerek başkasını arıyorum numara kullanılmıyor diyor trendyol go geçin bu uygulamayı skm;0
5;Başırı bi uygulama;Aradığım herşey var ve siparişim zamanında geldi;0
1;Açılmıyor;Açılmıyor hep bir sorun düzeltin artık;0
5;Güzel;İyi;0
1;SAÇMALADINIZ İYİCE;Restaurant 20 tl kurye ücreti alıyor onu anladık ilaveten neden 5 tl hizmet ücreti alıyorsunuz? Her hafta zam geliyor yemeklere, kalite düşüyor. Uygulamayı bırakma zamanı gelmiş…;0
1;sipariş iptali mümkün değil;yanlışlıkla sipariş verirseniz iptal edemiyorsunuz ve paranıza çöküyorlar, müşteri hizmetleri adını verdikleri yere ulaşamıyorsunuz. sipariş son anında 5 saniyelik geri sayım koymuşlar ama çalışmıyor;0
1;Extremely Irresponsible App – No Support and Unreliable Service;"I had a very disappointing experience with this app. Restaurants can easily take your money, mark orders as “delivered,” and there is absolutely no accessible customer support to help you. I was left waiting for hours with no response, even though the restaurant didn’t have the item I ordered and refused to cancel it.

There is no proper assistance, no live support, and no way to solve issues when something goes wrong. The app feels completely irresponsible and unreliable. I do not recommend it to anyone, and I hope the developers take these problems seriously.";0
1;En kötü hizmet;Yemek 1,5 saat gelmediğinde müşteri hizmetleri diye bir yere ulaşmak mümkün değil. Tek seçeneğiniz adres değişini. Ne telefon, ne chat bot. Korkunç. Abv.;0
1;Sipariş;Eksik ve yanlış ürün gönderiminde iptal veya iade yapmıyorsanız ne işiniz var bu sektörde;0
1;En kötü yemek uygulaması;"Denetim ve yönetim eksiklikleri nedeniyle ciddi politikalar alarak iade süreçlerini yenilemişler sanırım. Ancak haklı olanı da küstürdüler. İletişim eksikliği olan kuryeleri…
İnisiyatif eksikliği olan müşteri temsilcileri…
Hatta konuyu bir üstte aktaramayacak sistemsizlikleri ile bu sektörde küçüleceklerdir. Trendyol yemek Hepsiburada getir bizleri bekliyor…";0
1;Fkdkkf;Kakskdkdj;0
1;allahin belasi;canli destek sistemi tas devrinden kalma dünyanın en kötü sistemi siz yazarken yüzünuze kapatiliyor sakin indirmeyin umarim batar;0
1;Açılmayan uygulama;Uygulamayı silip yüklemekten sıkıldım açılmıyor muattab olacagın kimseyi  bulamıyorsun;0
1;Destek yok;Yanlış sipariş verdim, canlı destek YOK. Restoran numarası var, kullanılmayan numara. Yahu dolandırıcı bunlar kaçın.;0
5;Giriş;Uygulama açılmıyor 2 gündür;0
1;Güncelleme ile çalışmıyor 8-12-2025;Y logoda kalıyor yazık müşteri kaybı arkadaslarda da aynısı silip geçiyoruz;0
1;Berbat;130 tl den düşük sipariş veremiyorum.Bu saçma;0
