id;title;date;view_count;rating;content;is_full_content;category
34640256;Yorumumu Silemiyorum Restoranla Sorun Çözüldü Ama Mağdur Oldum;23 Aralık 14:40;174.0;;23 Aralık günü saat 12:02 civarında Yemeksepeti üzerinden Salon Burger’den sipariş verdim, siparişimde yer alan kolam eksik geldi. Bunun üzerine “Pepsi 1 litre gelmesi lazımdı, içecek gelmedi.” şeklinde bir yıldızlı yorum yazdım. Restoran, bir sonraki siparişimde ekstra kola göndereceklerini söyledi ve gerçekten de bir sonra verdiğim siparişte bu sorunu telafi ettiler. Sorunum restoranla aramızda çözüldüğü için, yazdığım bir yıldızlı yorumu silmek istiyorum ancak bunun için hiçbir buton veya seçenek bulamıyorum. Yorumu kaldırmak için Yardım Merkezi üzerinden “ürünüm eksik” adımını kullanarak canlı desteğe bağlanmaya çalıştım fakat canlı desteğe bağlanamadım ve yorumumu silemedim. Bu durum hem işi düzgünce telafi eden iş yerine hem de size karşı mahcup olmama neden oluyor. 23 Aralık’ta 12:00–13:00 saatleri arasında yazdığım “Pepsi 1 litre gelmesi lazımdı, içecek gelmedi.” içerikli yorumumun tarafınızca silinmesini ve bu konuda bana yardımcı olmanızı rica ediyorum.;True;yorum
34573728;Yorumumu Silemiyorum: Uygulamada Yetersiz Destek Ve Erişilemeyen Müşteri Hizmetleri;16 Aralık 19:38;156.0;5.0;Yemeksepeti üzerinden Pizza Villa restoranından 12.12.2025 tarihinde verdiğim sipariş geç geldiği için o anki sinirle restoran hakkında olumsuz bir yorum yazdım. Daha sonra pişman oldum ve bu yorumu tamamen silmek istedim ancak uygulama üzerinden bunu yapabileceğim bir alan bulamadım. Canlı destek bölümüne ulaşmak için uygulamada yeterli yönlendirme olmadığını fark ettim. Müşteri hizmetleri telefon numarasını aradığımda ise telefon hiç çalmadı, bu nedenle doğru numara olmadığını düşünüyorum. Herhangi bir e-posta adresi de bulamadığım için yetkili birime hiçbir şekilde ulaşamıyorum. Birkaç gündür yorumu silmek için uğraşıyorum fakat sonuç alamadım. Yazdığım bu yorumun tamamen kaldırılmasını ve bu tür durumlarda kullanıcıların yorumlarını silebilmesi veya düzenleyebilmesi için uygulamada açık ve erişilebilir bir seçenek sunulmasını talep ediyorum.;True;yorum
34464330;Bozuk Ürün Ve Yorum Sansürü Nedeniyle Hayal Kırıklığı;06 Aralık 10:10;115.0;1.0;22 Kasım saat 13.49’da Yemeksepeti üzerinden Lezzeti Ala Ev Yemekleri ’nden verdiğim #qrlp-jt1j numaralı siparişimde, gelen yemeğin kokusu ve görünümü bariz şekilde bozuktu. Yemeği dener denemez fark edip hiç tüketmeden bıraktım, sağlığımı riske atmamak için devam etmedim. Yaşadığım bu olumsuz deneyimi anlatan, hiçbir hakaret içermeyen, sadece durumu açıklayan bir yorum yazdım. Ancak Yemeksepeti bu yorumu herhangi bir gerekçe belirtmeden yayınlamadı. Hem böyle bir ürünün kullanıcıya ulaştırılması hem de bunu diğer kullanıcılarla şeffaf şekilde paylaşmak isterken, yorumumun engellenmesi beni hayal kırıklığına uğrattı. Yazdığım yorumu ve sürecin tüm detaylarını ekran kaydı ile kayıt altına aldım. Buna rağmen yorumumun yayınlanmaması, Yemeksepeti’nin kötü imaj oluşmaması kaygısı ile bozuk ürün gönderen işletmenin yanında durduğu ve kullanıcı yorumlarına fiilen sansür uyguladığı izlenimi oluşturmaktadır. Bu durumun devam etmesi halinde, yaşadıklarımı ve elimdeki kayıtları ilgili haber siteleri ve yetkili kurumlarla paylaşmayı ciddi şekilde değerlendirdiğimi belirtmek isterim. Yemeksepeti’nden beklentim, tamamen gerçek yaşadığım olayı anlatan ve hakaret içermeyen yorumumun yayınlanması ve bu tür durumlarda kullanıcıların sesinin kısıtlanmamasıdır.;True;yorum
34385125;Yemeksepeti Müşteri Yorumlarımı Neden Yayınlamıyor;28 Kasım 21:27;151.0;;Uzun süredir Yemeksepeti’ni aktif olarak kullanan bir müşteriyim. Son 1 yıldır verdiğim siparişlerle ilgili yaptığım hiçbir yorum, olumlu ya da olumsuz fark etmeksizin, sistemde yayınlanmıyor. Bu durum hem deneyimimi paylaşmamı engelliyor hem de diğer kullanıcıların gerçek müşteri yorumlarına ulaşmasını zorlaştırıyor. Konu ile ilgili olarak Yemeksepeti’ne e-posta yoluyla ulaştım ancak herhangi bir çözüm sunulmadı ve sorun devam ediyor. Herhangi bir hakaret, küfür, uygunsuz ifade içermeyen, tamamen deneyim odaklı yorumlarımın neden görünmediği konusunda da bilgilendirilmedim. Yemeksepeti’nden, “Hamza Uruç” adına kayıtlı hesabıma ait son 1 yıl içindeki tüm uygun yorumlarımın yayınlanmasını ve yorumlarımın hangi gerekçeyle engellendiği konusunda tarafıma açık ve net bir açıklama yapılmasını talep ediyorum.;True;yorum
34352563;Yemeksepeti'nde Yorum Silme Talebim Gerçekleşmiyor;25 Kasım 23:55;266.0;;Yemeksepeti üzerinden Azca Waffle adlı restorandan 'Especial Waffle' siparişi verdim. Siparişim sonrasında restoran sayfasına bir yorum yazdım ancak bu yorumu kendi hesabımdan silemiyorum. Yaklaşık saat 23.00 civarında yazdığım bu yorumun, tarafımca kaldırılması mümkün olmadığı için sistem üzerinden silinmesini talep ediyorum. Yorumun tamamen kaldırılarak hesabımda görünmemesini rica ediyorum.;True;yorum
34333624;Haksız Yorumumun Kaldırılmasını Talep Ediyorum;24 Kasım 15:27;289.0;;24 Kasım tarihinde Yemeksepeti uygulaması üzerinden GOP Meydan Döner işletmesiyle ilgili bir yorum yaptım. Ancak daha sonra değerlendirmemin haksız ve aceleyle yazılmış olduğunu fark ettim. Yorumumda kaldırılmasını istediğim özel bir ifade olmasa da, genel olarak işletmeye karşı adil olmayan bir yorum bıraktığımı düşünüyorum. Bu nedenle, Gamze Y***** adına kayıtlı hesabımla yaptığım söz konusu yorumun Yemeksepeti sisteminden tamamen kaldırılmasını talep ediyorum. İşletmenin haksız yere zarar görmemesi için yorumumun silinmesi konusunda destek rica ederim.;True;yorum
34269139;Yemeksepeti Yorum Silme Seçeneği Bulunmuyor;18 Kasım 12:56;362.0;;17 Kasım tarihinde Yemeksepeti uygulaması üzerinden Pizzacio adlı restorana yanlışlıkla bir yorum yazdım. Yorumumu silmek istedim fakat uygulamada böyle bir seçenek bulunmuyor. “Talep” bölümünden geri bildirimde bulundum, ancak bugüne kadar herhangi bir yanıt alamadım. Kullanıcı adım Beyzanur A**dur. Yorumumun tamamen silinmesini talep ediyorum ve bu konuda en kısa sürede dönüş yapılmasını rica ediyorum.;True;yorum
34215128;Yanlış Yorumumu Silemiyorum, Yardım İstiyorum!;12 Kasım 19:51;438.0;1.0;10 Kasım tarihinde Yemeksepeti üzerinden Kasaba adlı restorandan et siparişi verdim. Sipariş sonrası yanlışlıkla farklı bir restorana yorum yaptığımı fark ettim. Yorumumu silmek veya düzeltmek istedim ancak hem mobil uygulamada hem de web sitesinde silme butonu bulunmuyor. Bu nedenle Yemeksepeti müşteri hizmetleriyle iletişime geçtim, ancak bana yorumda düzeltme veya silme işlemi yapılamadığını söylediler. Sipariş numaram: 5458****67. Yorumumu yanlışlıkla yaptığım için silmek veya düzeltmek istiyorum. Bu konuda yardımcı olunmasını talep ediyorum.;True;yorum
34104178;Yemeksepeti Geç Teslimat, İletişim Sorunu ve İade Sürecinde Mağduriyet;31 Ekim 21:23;307.0;;"31 Ekim 2025 tarihinde saat 19:00 civarında Kayseri Melikgazi'den Yemeksepeti üzerinden Doyuyor adlı restorandan #fgij-** numaralı siparişi verdim. Siparişin 40 dakika içinde teslim edileceği belirtiliyordu, ancak 2,5 saat geçmesine rağmen yemek gelmedi. Müşteri hizmetlerine ulaşmak mümkün olmadı; telefonla aradığımda ise müşteri temsilcisi telefonu yüzüme kapattı. 0850'li numaradan da sonuç alamadım. Siparişi iptal etmek için restoranın kendi kuryesinin numarasını bulmak zorunda kaldım, Yemeksepeti üzerinden iptal seçeneği yoktu. Sipariş tutarı 1.720 TL'ydi ve ödeme hemen alındı. Ancak iptal sonrası ücret iadesi doğrudan banka hesabıma yapılmadı, önce Yemeksepeti Cüzdan’a aktarıldı, oradan tekrar işlem yapmam gerekti. Bu durumun ilk olmadığını ve sürekli tekrarlandığını belirtmek isterim. Uygulamada ya da sitede destek alabileceğiniz bir merci de bulunmuyor.";True;yorum
34059233;Siparişim Soğuk Ve Eksik Geldi Restoranın Platformda Yer Almasını Anlamıyorum;26 Ekim 22:52;405.0;;25 Ekim 2025 tarihinde saat 11:40’ta Yemeksepeti üzerinden Yeni Amber Kebap Salonu’ndan kaşarlı ve kuşbaşılı pide siparişi verdim. Siparişim yaklaşık iki saat sonra, 13:40’ta teslim edildi. Gelen ürün hem soğuktu hem de kuşbaşı pide neredeyse tamamen boştu, içinde kuşbaşıya dair bir tane bile parça yoktu. Google’da restoranı araştırdığımda diğer müşterilerin de benzer olumsuz deneyimler yaşadığını ve restoran hakkında neredeyse hiç iyi yorum olmadığını gördüm. Yemeksepeti olarak bu tür restoranların platformda yer almasını ve müşterilere önerilmesini anlamakta güçlük çekiyorum. Böyle işletmelerin daha sıkı denetlenmesini, Google ve diğer platformlardaki müşteri yorumlarının düzenli olarak incelenmesini, gerekli önlemlerin alınmasını ve bu restoranın platformdan çıkarılmasını talep ediyorum. Ayrıca yaşadığım mağduriyet için tarafıma özür dilenmesini bekliyorum. Benim gibi müşterilerin benzer sorunlar yaşamaması için gerekli hassasiyetin gösterilmesini rica ediyorum.;True;yorum
